EXP_ID,GROUP_ID,INDIVIDUAL_ID,COMPOUND_NAME,SPECIES,SEX_TYPE,SACRIFICE_PERIOD,DOSE,DOSE_UNIT,DOSE_LEVEL,DNA(%),LDH(%)
5005,29,1,carbon tetrachloride,Rat,Male,24 hr,10000,É M,High,,52.9
5005,29,2,carbon tetrachloride,Rat,Male,24 hr,10000,É M,High,,52.3
5006,01,1,phenobarbital,Rat,Male,2 hr,0,É M,Control,98.2,99.9
5006,01,2,phenobarbital,Rat,Male,2 hr,0,É M,Control,101.8,100.1
5006,03,1,phenobarbital,Rat,Male,8 hr,0,É M,Control,98.6,100.0
5006,03,2,phenobarbital,Rat,Male,8 hr,0,É M,Control,101.4,100.0
5006,04,1,phenobarbital,Rat,Male,24 hr,0,É M,Control,98.3,99.9
5006,04,2,phenobarbital,Rat,Male,24 hr,0,É M,Control,101.7,100.1
5006,16,1,phenobarbital,Rat,Male,2 hr,1000,É M,Low,84.6,99.9
5006,16,2,phenobarbital,Rat,Male,2 hr,1000,É M,Low,85.3,99.4
5006,18,1,phenobarbital,Rat,Male,8 hr,1000,É M,Low,96.1,100.1
5006,18,2,phenobarbital,Rat,Male,8 hr,1000,É M,Low,101.4,99.9
5006,19,1,phenobarbital,Rat,Male,24 hr,1000,É M,Low,108.7,98.9
5006,19,2,phenobarbital,Rat,Male,24 hr,1000,É M,Low,100.9,99.6
5006,21,1,phenobarbital,Rat,Male,2 hr,3000,É M,Middle,90.0,99.7
5006,21,2,phenobarbital,Rat,Male,2 hr,3000,É M,Middle,93.2,99.4
5006,23,1,phenobarbital,Rat,Male,8 hr,3000,É M,Middle,105.5,100.4
5006,23,2,phenobarbital,Rat,Male,8 hr,3000,É M,Middle,108.3,100.0
5006,24,1,phenobarbital,Rat,Male,24 hr,3000,É M,Middle,91.9,99.8
5006,24,2,phenobarbital,Rat,Male,24 hr,3000,É M,Middle,87.7,99.0
5006,26,1,phenobarbital,Rat,Male,2 hr,10000,É M,High,88.6,100.7
5006,26,2,phenobarbital,Rat,Male,2 hr,10000,É M,High,90.3,100.6
5006,28,1,phenobarbital,Rat,Male,8 hr,10000,É M,High,109.8,98.8
5006,28,2,phenobarbital,Rat,Male,8 hr,10000,É M,High,100.3,100.3
5006,29,1,phenobarbital,Rat,Male,24 hr,10000,É M,High,95.5,92.4
5006,29,2,phenobarbital,Rat,Male,24 hr,10000,É M,High,98.3,90.6
5007,01,1,isoniazid,Rat,Male,2 hr,0,É M,Control,93.6,100.0
5007,01,2,isoniazid,Rat,Male,2 hr,0,É M,Control,106.4,100.0
5007,02,1,isoniazid,Rat,Male,8 hr,0,É M,Control,99.7,100.3
5007,02,2,isoniazid,Rat,Male,8 hr,0,É M,Control,100.3,99.7
5007,03,1,isoniazid,Rat,Male,24 hr,0,É M,Control,99.2,99.7
5007,03,2,isoniazid,Rat,Male,24 hr,0,É M,Control,100.8,100.3
5007,04,1,isoniazid,Rat,Male,2 hr,400,É M,Low,104.7,99.9
5007,04,2,isoniazid,Rat,Male,2 hr,400,É M,Low,111.6,100.2
5007,05,1,isoniazid,Rat,Male,8 hr,400,É M,Low,92.6,98.7
5007,05,2,isoniazid,Rat,Male,8 hr,400,É M,Low,88.5,98.4
5007,06,1,isoniazid,Rat,Male,24 hr,400,É M,Low,103.1,101.5
5007,06,2,isoniazid,Rat,Male,24 hr,400,É M,Low,102.8,100.9
5007,07,1,isoniazid,Rat,Male,2 hr,2000,É M,Middle,101.0,99.9
5007,07,2,isoniazid,Rat,Male,2 hr,2000,É M,Middle,105.3,100.5
5007,08,1,isoniazid,Rat,Male,8 hr,2000,É M,Middle,97.9,99.7
5007,08,2,isoniazid,Rat,Male,8 hr,2000,É M,Middle,101.7,100.1
5007,09,1,isoniazid,Rat,Male,24 hr,2000,É M,Middle,103.9,102.6
5007,09,2,isoniazid,Rat,Male,24 hr,2000,É M,Middle,104.1,101.3
5007,10,1,isoniazid,Rat,Male,2 hr,10000,É M,High,120.1,100.6
5007,10,2,isoniazid,Rat,Male,2 hr,10000,É M,High,117.9,100.1
5007,11,1,isoniazid,Rat,Male,8 hr,10000,É M,High,107.1,100.3
5007,11,2,isoniazid,Rat,Male,8 hr,10000,É M,High,97.3,99.6
5007,12,1,isoniazid,Rat,Male,24 hr,10000,É M,High,94.0,101.2
5007,12,2,isoniazid,Rat,Male,24 hr,10000,É M,High,94.2,101.0
5008,01,1,valproic acid,Rat,Male,2 hr,0,É M,Control,98.3,100.1
5008,01,2,valproic acid,Rat,Male,2 hr,0,É M,Control,101.7,99.9
5008,02,1,valproic acid,Rat,Male,8 hr,0,É M,Control,96.8,99.7
5008,02,2,valproic acid,Rat,Male,8 hr,0,É M,Control,103.2,100.3
5008,03,1,valproic acid,Rat,Male,24 hr,0,É M,Control,97.0,100.1
5008,03,2,valproic acid,Rat,Male,24 hr,0,É M,Control,103.0,99.9
5008,04,1,valproic acid,Rat,Male,2 hr,400,É M,Low,106.4,100.7
5008,04,2,valproic acid,Rat,Male,2 hr,400,É M,Low,105.0,100.6
5008,05,1,valproic acid,Rat,Male,8 hr,400,É M,Low,106.8,101.1
5008,05,2,valproic acid,Rat,Male,8 hr,400,É M,Low,107.4,100.4
5008,06,1,valproic acid,Rat,Male,24 hr,400,É M,Low,93.7,100.6
5008,06,2,valproic acid,Rat,Male,24 hr,400,É M,Low,94.4,100.7
5008,07,1,valproic acid,Rat,Male,2 hr,2000,É M,Middle,90.7,100.4
5008,07,2,valproic acid,Rat,Male,2 hr,2000,É M,Middle,100.9,101.0
5008,08,1,valproic acid,Rat,Male,8 hr,2000,É M,Middle,102.7,100.3
5008,08,2,valproic acid,Rat,Male,8 hr,2000,É M,Middle,108.2,100.3
5008,09,1,valproic acid,Rat,Male,24 hr,2000,É M,Middle,91.8,100.2
5008,09,2,valproic acid,Rat,Male,24 hr,2000,É M,Middle,93.9,100.5
5008,10,1,valproic acid,Rat,Male,2 hr,10000,É M,High,110.2,103.8
5008,10,2,valproic acid,Rat,Male,2 hr,10000,É M,High,111.4,103.9
5008,11,1,valproic acid,Rat,Male,8 hr,10000,É M,High,107.6,104.0
5008,11,2,valproic acid,Rat,Male,8 hr,10000,É M,High,112.9,103.7
5008,12,1,valproic acid,Rat,Male,24 hr,10000,É M,High,80.5,106.6
5008,12,2,valproic acid,Rat,Male,24 hr,10000,É M,High,85.2,106.0
5009,01,1,clofibrate,Rat,Male,2 hr,0,É M,Control,97.2,99.9
5009,01,2,clofibrate,Rat,Male,2 hr,0,É M,Control,102.8,100.1
5009,02,1,clofibrate,Rat,Male,8 hr,0,É M,Control,99.6,100.1
5009,02,2,clofibrate,Rat,Male,8 hr,0,É M,Control,100.4,99.9
5009,03,1,clofibrate,Rat,Male,24 hr,0,É M,Control,99.5,99.7
5009,03,2,clofibrate,Rat,Male,24 hr,0,É M,Control,100.5,100.3
5009,04,1,clofibrate,Rat,Male,2 hr,12,É M,Low,102.2,100.9
5009,04,2,clofibrate,Rat,Male,2 hr,12,É M,Low,103.4,100.6
5009,05,1,clofibrate,Rat,Male,8 hr,12,É M,Low,101.8,100.2
5009,05,2,clofibrate,Rat,Male,8 hr,12,É M,Low,97.1,100.1
5009,06,1,clofibrate,Rat,Male,24 hr,12,É M,Low,95.5,100.0
5009,06,2,clofibrate,Rat,Male,24 hr,12,É M,Low,99.2,100.7
5009,07,1,clofibrate,Rat,Male,2 hr,60,É M,Middle,107.0,99.7
5009,07,2,clofibrate,Rat,Male,2 hr,60,É M,Middle,107.3,99.9
5009,08,1,clofibrate,Rat,Male,8 hr,60,É M,Middle,97.8,99.4
5009,08,2,clofibrate,Rat,Male,8 hr,60,É M,Middle,101.1,99.7
5009,09,1,clofibrate,Rat,Male,24 hr,60,É M,Middle,94.3,100.9
5009,09,2,clofibrate,Rat,Male,24 hr,60,É M,Middle,96.8,102.1
5009,10,1,clofibrate,Rat,Male,2 hr,300,É M,High,106.5,99.7
5009,10,2,clofibrate,Rat,Male,2 hr,300,É M,High,109.3,100.1
5009,11,1,clofibrate,Rat,Male,8 hr,300,É M,High,91.2,101.0
5009,11,2,clofibrate,Rat,Male,8 hr,300,É M,High,94.5,100.8
5009,12,1,clofibrate,Rat,Male,24 hr,300,É M,High,95.6,103.7
5009,12,2,clofibrate,Rat,Male,24 hr,300,É M,High,104.6,102.6
5011,01,1,rifampicin,Rat,Male,2 hr,0,É M,Control,101.2,100.0
5011,01,2,rifampicin,Rat,Male,2 hr,0,É M,Control,98.8,100.0
5011,02,1,rifampicin,Rat,Male,8 hr,0,É M,Control,101.8,100.3
5011,02,2,rifampicin,Rat,Male,8 hr,0,É M,Control,98.2,99.7
5011,03,1,rifampicin,Rat,Male,24 hr,0,É M,Control,98.8,100.3
5011,03,2,rifampicin,Rat,Male,24 hr,0,É M,Control,101.2,99.7
5011,04,1,rifampicin,Rat,Male,2 hr,3,É M,Low,103.2,100.4
5011,04,2,rifampicin,Rat,Male,2 hr,3,É M,Low,107.3,100.9
5011,05,1,rifampicin,Rat,Male,8 hr,3,É M,Low,99.9,100.4
5011,05,2,rifampicin,Rat,Male,8 hr,3,É M,Low,94.9,100.5
5011,06,1,rifampicin,Rat,Male,24 hr,3,É M,Low,98.3,99.8
5011,06,2,rifampicin,Rat,Male,24 hr,3,É M,Low,101.0,100.5
5011,07,1,rifampicin,Rat,Male,2 hr,14,É M,Middle,104.1,100.7
5011,07,2,rifampicin,Rat,Male,2 hr,14,É M,Middle,107.7,100.6
5011,08,1,rifampicin,Rat,Male,8 hr,14,É M,Middle,99.9,101.4
5011,08,2,rifampicin,Rat,Male,8 hr,14,É M,Middle,101.6,100.6
5011,09,1,rifampicin,Rat,Male,24 hr,14,É M,Middle,97.9,102.1
5011,09,2,rifampicin,Rat,Male,24 hr,14,É M,Middle,98.2,101.5
5011,10,1,rifampicin,Rat,Male,2 hr,70,É M,High,94.9,99.7
5011,10,2,rifampicin,Rat,Male,2 hr,70,É M,High,103.9,100.3
5011,11,1,rifampicin,Rat,Male,8 hr,70,É M,High,97.5,100.8
5011,11,2,rifampicin,Rat,Male,8 hr,70,É M,High,96.8,100.5
5011,12,1,rifampicin,Rat,Male,24 hr,70,É M,High,86.7,101.2
5011,12,2,rifampicin,Rat,Male,24 hr,70,É M,High,90.9,100.8
5012,01,1,naphthyl isothiocyanate,Rat,Male,2 hr,0,É M,Control,102.4,99.9
5012,01,2,naphthyl isothiocyanate,Rat,Male,2 hr,0,É M,Control,97.6,100.1
5012,02,1,naphthyl isothiocyanate,Rat,Male,8 hr,0,É M,Control,101.8,100.1
5012,02,2,naphthyl isothiocyanate,Rat,Male,8 hr,0,É M,Control,98.2,99.9
5012,03,1,naphthyl isothiocyanate,Rat,Male,24 hr,0,É M,Control,99.0,99.8
5012,03,2,naphthyl isothiocyanate,Rat,Male,24 hr,0,É M,Control,101.0,100.2
5012,04,1,naphthyl isothiocyanate,Rat,Male,2 hr,8,É M,Low,98.9,100.9
5012,04,2,naphthyl isothiocyanate,Rat,Male,2 hr,8,É M,Low,94.4,100.4
5012,05,1,naphthyl isothiocyanate,Rat,Male,8 hr,8,É M,Low,102.0,100.8
5012,05,2,naphthyl isothiocyanate,Rat,Male,8 hr,8,É M,Low,95.5,101.1
5012,06,1,naphthyl isothiocyanate,Rat,Male,24 hr,8,É M,Low,103.5,99.3
5012,06,2,naphthyl isothiocyanate,Rat,Male,24 hr,8,É M,Low,102.4,99.9
5012,07,1,naphthyl isothiocyanate,Rat,Male,2 hr,40,É M,Middle,94.8,100.0
5012,07,2,naphthyl isothiocyanate,Rat,Male,2 hr,40,É M,Middle,99.6,100.4
5012,08,1,naphthyl isothiocyanate,Rat,Male,8 hr,40,É M,Middle,95.5,101.0
5012,08,2,naphthyl isothiocyanate,Rat,Male,8 hr,40,É M,Middle,103.9,101.0
5012,09,1,naphthyl isothiocyanate,Rat,Male,24 hr,40,É M,Middle,96.1,98.9
5012,09,2,naphthyl isothiocyanate,Rat,Male,24 hr,40,É M,Middle,99.7,100.0
5012,10,1,naphthyl isothiocyanate,Rat,Male,2 hr,200,É M,High,90.8,99.9
5012,10,2,naphthyl isothiocyanate,Rat,Male,2 hr,200,É M,High,96.8,100.4
5012,11,1,naphthyl isothiocyanate,Rat,Male,8 hr,200,É M,High,86.9,101.1
5012,11,2,naphthyl isothiocyanate,Rat,Male,8 hr,200,É M,High,90.5,101.1
5012,12,1,naphthyl isothiocyanate,Rat,Male,24 hr,200,É M,High,65.8,56.3
5012,12,2,naphthyl isothiocyanate,Rat,Male,24 hr,200,É M,High,71.7,55.4
5013,01,1,allyl alcohol,Rat,Male,2 hr,0,É M,Control,99.6,99.7
5013,01,2,allyl alcohol,Rat,Male,2 hr,0,É M,Control,100.4,100.3
5013,02,1,allyl alcohol,Rat,Male,8 hr,0,É M,Control,98.6,100.1
5013,02,2,allyl alcohol,Rat,Male,8 hr,0,É M,Control,101.4,99.9
5013,03,1,allyl alcohol,Rat,Male,24 hr,0,É M,Control,97.5,100.2
5013,03,2,allyl alcohol,Rat,Male,24 hr,0,É M,Control,102.5,99.8
5013,04,1,allyl alcohol,Rat,Male,2 hr,1,É M,Low,98.6,100.3
5013,04,2,allyl alcohol,Rat,Male,2 hr,1,É M,Low,96.9,100.3
5013,05,1,allyl alcohol,Rat,Male,8 hr,1,É M,Low,98.3,99.2
5013,05,2,allyl alcohol,Rat,Male,8 hr,1,É M,Low,97.9,98.7
5013,06,1,allyl alcohol,Rat,Male,24 hr,1,É M,Low,95.2,97.8
5013,06,2,allyl alcohol,Rat,Male,24 hr,1,É M,Low,101.8,98.2
5013,07,1,allyl alcohol,Rat,Male,2 hr,4,É M,Middle,94.6,100.2
5013,07,2,allyl alcohol,Rat,Male,2 hr,4,É M,Middle,96.8,100.2
5013,08,1,allyl alcohol,Rat,Male,8 hr,4,É M,Middle,94.1,98.7
5013,08,2,allyl alcohol,Rat,Male,8 hr,4,É M,Middle,97.4,100.0
5013,09,1,allyl alcohol,Rat,Male,24 hr,4,É M,Middle,94.4,97.9
5013,09,2,allyl alcohol,Rat,Male,24 hr,4,É M,Middle,91.1,99.1
5013,10,1,allyl alcohol,Rat,Male,2 hr,20,É M,High,92.3,99.9
5013,10,2,allyl alcohol,Rat,Male,2 hr,20,É M,High,94.9,99.6
5013,11,1,allyl alcohol,Rat,Male,8 hr,20,É M,High,98.7,100.0
5013,11,2,allyl alcohol,Rat,Male,8 hr,20,É M,High,90.2,100.6
5013,12,1,allyl alcohol,Rat,Male,24 hr,20,É M,High,92.6,99.1
5013,12,2,allyl alcohol,Rat,Male,24 hr,20,É M,High,85.8,99.2
5014,01,1,phenylbutazone,Rat,Male,2 hr,0,É M,Control,98.8,100.1
5014,01,2,phenylbutazone,Rat,Male,2 hr,0,É M,Control,101.2,99.9
5014,02,1,phenylbutazone,Rat,Male,8 hr,0,É M,Control,100.4,99.6
5014,02,2,phenylbutazone,Rat,Male,8 hr,0,É M,Control,99.6,100.4
5014,03,1,phenylbutazone,Rat,Male,24 hr,0,É M,Control,96.6,100.2
5014,03,2,phenylbutazone,Rat,Male,24 hr,0,É M,Control,103.4,99.8
5014,04,1,phenylbutazone,Rat,Male,2 hr,16,É M,Low,103.8,99.9
5014,04,2,phenylbutazone,Rat,Male,2 hr,16,É M,Low,100.7,98.8
5014,05,1,phenylbutazone,Rat,Male,8 hr,16,É M,Low,88.7,100.4
5014,05,2,phenylbutazone,Rat,Male,8 hr,16,É M,Low,90.9,99.9
5014,06,1,phenylbutazone,Rat,Male,24 hr,16,É M,Low,99.3,98.9
5014,06,2,phenylbutazone,Rat,Male,24 hr,16,É M,Low,97.2,100.0
5014,07,1,phenylbutazone,Rat,Male,2 hr,80,É M,Middle,98.4,100.2
5014,07,2,phenylbutazone,Rat,Male,2 hr,80,É M,Middle,102.3,100.2
5014,08,1,phenylbutazone,Rat,Male,8 hr,80,É M,Middle,96.0,99.8
5014,08,2,phenylbutazone,Rat,Male,8 hr,80,É M,Middle,98.5,99.0
5014,09,1,phenylbutazone,Rat,Male,24 hr,80,É M,Middle,91.0,100.8
5014,09,2,phenylbutazone,Rat,Male,24 hr,80,É M,Middle,92.9,100.7
5014,10,1,phenylbutazone,Rat,Male,2 hr,400,É M,High,100.2,100.7
5014,10,2,phenylbutazone,Rat,Male,2 hr,400,É M,High,96.5,100.6
5014,11,1,phenylbutazone,Rat,Male,8 hr,400,É M,High,96.1,97.9
5014,11,2,phenylbutazone,Rat,Male,8 hr,400,É M,High,101.5,94.8
5014,12,1,phenylbutazone,Rat,Male,24 hr,400,É M,High,90.6,97.4
5014,12,2,phenylbutazone,Rat,Male,24 hr,400,É M,High,84.3,98.1
5015,01,1,omeprazole,Rat,Male,2 hr,0,É M,Control,99.6,99.9
5015,01,2,omeprazole,Rat,Male,2 hr,0,É M,Control,100.4,100.1
5015,02,1,omeprazole,Rat,Male,8 hr,0,É M,Control,95.4,99.8
5015,02,2,omeprazole,Rat,Male,8 hr,0,É M,Control,104.6,100.2
5015,03,1,omeprazole,Rat,Male,24 hr,0,É M,Control,98.4,99.6
5015,03,2,omeprazole,Rat,Male,24 hr,0,É M,Control,101.6,100.4
5015,04,1,omeprazole,Rat,Male,2 hr,5,É M,Low,100.2,100.7
5015,04,2,omeprazole,Rat,Male,2 hr,5,É M,Low,98.5,99.7
5015,05,1,omeprazole,Rat,Male,8 hr,5,É M,Low,99.5,100.7
5015,05,2,omeprazole,Rat,Male,8 hr,5,É M,Low,104.8,100.5
5015,06,1,omeprazole,Rat,Male,24 hr,5,É M,Low,98.7,100.3
5015,06,2,omeprazole,Rat,Male,24 hr,5,É M,Low,106.1,99.8
5015,07,1,omeprazole,Rat,Male,2 hr,24,É M,Middle,101.7,100.6
5015,07,2,omeprazole,Rat,Male,2 hr,24,É M,Middle,99.0,100.2
5015,08,1,omeprazole,Rat,Male,8 hr,24,É M,Middle,94.4,100.7
5015,08,2,omeprazole,Rat,Male,8 hr,24,É M,Middle,97.0,100.8
5015,09,1,omeprazole,Rat,Male,24 hr,24,É M,Middle,101.8,100.7
5015,09,2,omeprazole,Rat,Male,24 hr,24,É M,Middle,100.8,100.6
5015,10,1,omeprazole,Rat,Male,2 hr,120,É M,High,88.9,100.6
5015,10,2,omeprazole,Rat,Male,2 hr,120,É M,High,94.5,100.5
5015,11,1,omeprazole,Rat,Male,8 hr,120,É M,High,96.4,101.3
5015,11,2,omeprazole,Rat,Male,8 hr,120,É M,High,91.0,101.2
5015,12,1,omeprazole,Rat,Male,24 hr,120,É M,High,100.1,100.6
5015,12,2,omeprazole,Rat,Male,24 hr,120,É M,High,100.7,100.1
5016,01,1,ethionine,Rat,Male,2 hr,0,É M,Control,102.8,99.7
5016,01,2,ethionine,Rat,Male,2 hr,0,É M,Control,97.2,100.3
5016,02,1,ethionine,Rat,Male,8 hr,0,É M,Control,99.6,100.1
5016,02,2,ethionine,Rat,Male,8 hr,0,É M,Control,100.4,99.9
5016,03,1,ethionine,Rat,Male,24 hr,0,É M,Control,99.4,100.0
5016,03,2,ethionine,Rat,Male,24 hr,0,É M,Control,100.6,100.0
5016,04,1,ethionine,Rat,Male,2 hr,400,É M,Low,101.8,99.7
5016,04,2,ethionine,Rat,Male,2 hr,400,É M,Low,101.4,99.8
5016,05,1,ethionine,Rat,Male,8 hr,400,É M,Low,100.3,100.1
5016,05,2,ethionine,Rat,Male,8 hr,400,É M,Low,88.6,100.0
5016,06,1,ethionine,Rat,Male,24 hr,400,É M,Low,95.9,99.4
5016,06,2,ethionine,Rat,Male,24 hr,400,É M,Low,96.1,98.6
5016,07,1,ethionine,Rat,Male,2 hr,2000,É M,Middle,104.7,100.1
5016,07,2,ethionine,Rat,Male,2 hr,2000,É M,Middle,98.6,100.1
5016,08,1,ethionine,Rat,Male,8 hr,2000,É M,Middle,89.8,100.4
5016,08,2,ethionine,Rat,Male,8 hr,2000,É M,Middle,83.8,99.7
5016,09,1,ethionine,Rat,Male,24 hr,2000,É M,Middle,87.7,100.6
5016,09,2,ethionine,Rat,Male,24 hr,2000,É M,Middle,95.8,100.1
5016,10,1,ethionine,Rat,Male,2 hr,10000,É M,High,80.5,99.8
5016,10,2,ethionine,Rat,Male,2 hr,10000,É M,High,93.5,99.7
5016,11,1,ethionine,Rat,Male,8 hr,10000,É M,High,88.9,100.5
5016,11,2,ethionine,Rat,Male,8 hr,10000,É M,High,87.6,100.8
5016,12,1,ethionine,Rat,Male,24 hr,10000,É M,High,83.2,102.1
5016,12,2,ethionine,Rat,Male,24 hr,10000,É M,High,95.6,102.5
5017,01,1,aspirin,Rat,Male,2 hr,0,É M,Control,96.7,99.6
5017,01,2,aspirin,Rat,Male,2 hr,0,É M,Control,103.3,100.4
5017,02,1,aspirin,Rat,Male,8 hr,0,É M,Control,96.4,100.1
5017,02,2,aspirin,Rat,Male,8 hr,0,É M,Control,103.6,99.9
5017,03,1,aspirin,Rat,Male,24 hr,0,É M,Control,102.9,99.8
5017,03,2,aspirin,Rat,Male,24 hr,0,É M,Control,97.1,100.2
5017,04,1,aspirin,Rat,Male,2 hr,120,É M,Low,87.9,100.3
5017,04,2,aspirin,Rat,Male,2 hr,120,É M,Low,93.8,99.6
5017,05,1,aspirin,Rat,Male,8 hr,120,É M,Low,99.9,99.8
5017,05,2,aspirin,Rat,Male,8 hr,120,É M,Low,104.0,100.3
5017,06,1,aspirin,Rat,Male,24 hr,120,É M,Low,99.9,100.2
5017,06,2,aspirin,Rat,Male,24 hr,120,É M,Low,104.9,98.5
5017,07,1,aspirin,Rat,Male,2 hr,600,É M,Middle,90.5,99.6
5017,07,2,aspirin,Rat,Male,2 hr,600,É M,Middle,83.4,99.5
5017,08,1,aspirin,Rat,Male,8 hr,600,É M,Middle,102.0,99.5
5017,08,2,aspirin,Rat,Male,8 hr,600,É M,Middle,99.5,98.8
5017,09,1,aspirin,Rat,Male,24 hr,600,É M,Middle,101.8,99.3
5017,09,2,aspirin,Rat,Male,24 hr,600,É M,Middle,108.9,96.8
5017,10,1,aspirin,Rat,Male,2 hr,3000,É M,High,90.4,99.5
5017,10,2,aspirin,Rat,Male,2 hr,3000,É M,High,87.8,99.8
5017,11,1,aspirin,Rat,Male,8 hr,3000,É M,High,96.3,97.1
5017,11,2,aspirin,Rat,Male,8 hr,3000,É M,High,96.0,97.2
5017,12,1,aspirin,Rat,Male,24 hr,3000,É M,High,94.7,94.0
5017,12,2,aspirin,Rat,Male,24 hr,3000,É M,High,86.6,92.9
5018,01,1,indomethacin,Rat,Male,2 hr,0,É M,Control,101.8,100.0
5018,01,2,indomethacin,Rat,Male,2 hr,0,É M,Control,98.2,100.0
5018,02,1,indomethacin,Rat,Male,8 hr,0,É M,Control,97.9,100.1
5018,02,2,indomethacin,Rat,Male,8 hr,0,É M,Control,102.1,99.9
5018,03,1,indomethacin,Rat,Male,24 hr,0,É M,Control,95.2,99.9
5018,03,2,indomethacin,Rat,Male,24 hr,0,É M,Control,104.8,100.1
5018,04,1,indomethacin,Rat,Male,2 hr,12,É M,Low,103.7,100.0
5018,04,2,indomethacin,Rat,Male,2 hr,12,É M,Low,100.2,99.3
5018,05,1,indomethacin,Rat,Male,8 hr,12,É M,Low,102.1,99.8
5018,05,2,indomethacin,Rat,Male,8 hr,12,É M,Low,108.7,100.0
5018,06,1,indomethacin,Rat,Male,24 hr,12,É M,Low,103.1,99.5
5018,06,2,indomethacin,Rat,Male,24 hr,12,É M,Low,104.5,100.3
5018,07,1,indomethacin,Rat,Male,2 hr,60,É M,Middle,102.7,99.6
