EXP_ID,GROUP_ID,INDIVIDUAL_ID,COMPOUND_NAME,SINGLE_REPEAT_TYPE,SACRIFICE_PERIOD,DOSE,DOSE_UNIT,DOSE_LEVEL,ALP(IU/L),TC(mg/dL),TG(mg/dL),PL(mg/dL),TBIL(mg/dL),DBIL(mg/dL),GLC(mg/dL),BUN(mg/dL),CRE(mg/dL),Na(meq/L),K(meq/L),Cl(meq/L),Ca(mg/dL),IP(mg/dL),TP(g/dL),RALB(g/dL),A/G,AST(IU/L),ALT(IU/L),LDH(IU/L),GTP(IU/L)
0040,04,5,acetaminophen,Single,24 hr,0,mg/kg,Control,1021.0,93.0,81.0,173.0,0.23,0.07,193.0,16.0,0.3,143.0,5.1,103.0,10.9,10.8,5.5,4.0,2.7,68.0,42.0,158.0,2.0
0040,11,1,acetaminophen,Single,3 hr,300,mg/kg,Low,821.0,92.0,67.0,150.0,0.19,0.04,211.0,13.0,0.2,142.0,5.3,106.0,10.4,12.1,5.4,3.4,1.7,67.0,32.0,101.0,0.0
0040,11,2,acetaminophen,Single,3 hr,300,mg/kg,Low,677.0,83.0,51.0,153.0,0.25,0.03,210.0,11.0,0.3,138.0,5.1,101.0,10.7,12.0,5.3,3.5,1.9,60.0,33.0,121.0,1.0
0040,11,4,acetaminophen,Single,3 hr,300,mg/kg,Low,810.0,83.0,30.0,139.0,0.15,0.08,193.0,12.0,0.2,139.0,5.6,104.0,10.8,11.5,5.5,3.6,1.9,60.0,37.0,114.0,1.0
0040,11,5,acetaminophen,Single,3 hr,300,mg/kg,Low,1035.0,85.0,40.0,155.0,0.21,0.08,204.0,17.0,0.2,139.0,5.2,101.0,11.1,12.4,5.5,3.4,1.6,55.0,31.0,66.0,1.0
0040,12,1,acetaminophen,Single,6 hr,300,mg/kg,Low,647.0,82.0,35.0,133.0,0.29,0.05,168.0,10.0,0.3,139.0,4.8,104.0,9.5,12.1,5.4,3.4,1.7,60.0,23.0,85.0,1.0
0040,12,2,acetaminophen,Single,6 hr,300,mg/kg,Low,875.0,68.0,54.0,140.0,0.28,0.01,203.0,9.0,0.3,139.0,5.5,104.0,10.7,10.8,5.4,3.4,1.7,60.0,33.0,98.0,2.0
0040,12,3,acetaminophen,Single,6 hr,300,mg/kg,Low,904.0,68.0,27.0,131.0,0.29,0.02,228.0,13.0,0.3,141.0,5.1,102.0,10.6,13.7,5.5,3.3,1.5,58.0,29.0,99.0,2.0
0040,12,4,acetaminophen,Single,6 hr,300,mg/kg,Low,805.0,85.0,28.0,150.0,0.3,0.06,199.0,12.0,0.2,140.0,5.1,106.0,10.2,11.5,5.6,3.6,1.8,67.0,36.0,77.0,1.0
0040,12,5,acetaminophen,Single,6 hr,300,mg/kg,Low,933.0,73.0,18.0,129.0,0.33,0.05,198.0,10.0,0.3,140.0,4.8,103.0,10.5,11.8,5.4,3.4,1.7,56.0,31.0,74.0,1.0
0040,13,1,acetaminophen,Single,9 hr,300,mg/kg,Low,858.0,90.0,60.0,158.0,0.29,0.11,190.0,14.0,0.3,142.0,5.0,105.2,10.4,11.9,5.6,3.6,1.8,54.0,28.0,51.0,1.0
0040,13,2,acetaminophen,Single,9 hr,300,mg/kg,Low,925.0,76.0,57.0,150.0,0.34,0.13,200.0,12.0,0.2,142.4,4.72,107.7,10.5,10.7,5.4,3.4,1.7,56.0,33.0,58.0,1.0
0040,13,3,acetaminophen,Single,9 hr,300,mg/kg,Low,549.0,76.0,16.0,135.0,0.25,0.06,192.0,15.0,0.2,141.3,4.79,107.7,10.1,10.4,5.6,3.6,1.8,62.0,31.0,70.0,0.0
0040,13,4,acetaminophen,Single,9 hr,300,mg/kg,Low,967.0,77.0,45.0,142.0,0.25,0.11,214.0,20.0,0.2,143.3,7.1,108.7,11.1,13.9,5.4,3.5,1.84,56.0,28.0,68.0,1.0
0040,13,5,acetaminophen,Single,9 hr,300,mg/kg,Low,704.0,76.0,31.0,137.0,0.22,0.1,209.0,14.0,0.4,140.6,6.6,105.3,10.6,11.1,5.6,3.6,1.8,54.0,25.0,49.0,1.0
0040,14,1,acetaminophen,Single,24 hr,300,mg/kg,Low,993.0,88.0,207.0,185.0,0.29,0.05,194.0,20.0,0.5,142.0,5.0,103.0,11.1,9.3,6.1,4.3,2.4,69.0,48.0,132.0,2.0
0040,14,2,acetaminophen,Single,24 hr,300,mg/kg,Low,1074.0,100.0,212.0,212.0,0.34,0.04,198.0,17.0,0.4,142.0,4.9,104.0,10.9,9.9,5.8,4.1,2.4,74.0,48.0,164.0,2.0
0040,14,3,acetaminophen,Single,24 hr,300,mg/kg,Low,817.0,82.0,140.0,159.0,0.27,0.04,182.0,17.0,0.4,141.0,5.8,103.0,10.9,9.8,5.7,3.8,2.0,56.0,41.0,87.0,2.0
0040,14,4,acetaminophen,Single,24 hr,300,mg/kg,Low,1216.0,82.0,70.0,157.0,0.21,0.05,176.0,16.0,0.3,142.0,5.4,103.0,10.8,9.6,5.8,4.2,2.6,53.0,28.0,86.0,1.0
0040,14,5,acetaminophen,Single,24 hr,300,mg/kg,Low,870.0,85.0,80.0,172.0,0.27,0.1,189.0,17.0,0.4,141.0,5.7,104.0,10.9,10.1,5.6,3.8,2.1,63.0,46.0,103.0,2.0
0040,16,1,acetaminophen,Single,3 hr,600,mg/kg,Middle,768.0,68.0,37.0,118.0,0.23,0.07,186.0,14.0,0.3,140.0,5.4,101.0,10.8,13.1,5.6,3.4,1.6,83.0,47.0,125.0,2.0
0040,16,2,acetaminophen,Single,3 hr,600,mg/kg,Middle,843.0,74.0,53.0,127.0,0.16,0.04,195.0,12.0,0.2,141.0,6.0,103.0,10.6,13.5,5.7,3.6,1.7,87.0,44.0,123.0,2.0
0040,16,3,acetaminophen,Single,3 hr,600,mg/kg,Middle,965.0,86.0,79.0,160.0,0.2,0.04,171.0,17.0,0.2,139.0,5.5,101.0,10.8,13.0,5.6,3.3,1.4,63.0,35.0,86.0,1.0
0040,16,4,acetaminophen,Single,3 hr,600,mg/kg,Middle,968.0,98.0,18.0,150.0,0.25,0.09,192.0,18.0,0.3,141.0,4.5,101.0,11.7,13.5,5.7,3.9,2.2,67.0,36.0,98.0,1.0
0040,16,5,acetaminophen,Single,3 hr,600,mg/kg,Middle,1006.0,74.0,27.0,128.0,0.2,0.04,212.0,10.0,0.3,139.0,5.8,106.0,10.7,12.7,5.7,3.5,1.6,66.0,33.0,96.0,1.0
0040,17,1,acetaminophen,Single,6 hr,600,mg/kg,Middle,969.0,73.0,39.0,138.0,0.28,0.01,201.0,10.0,0.3,142.0,4.1,105.0,10.6,12.3,5.7,3.5,1.6,67.0,34.0,153.0,1.0
0040,17,2,acetaminophen,Single,6 hr,600,mg/kg,Middle,1367.0,80.0,49.0,142.0,0.29,0.04,207.0,14.0,0.3,140.0,5.1,106.0,9.9,11.5,5.5,3.5,1.8,65.0,32.0,144.0,1.0
0040,17,3,acetaminophen,Single,6 hr,600,mg/kg,Middle,1002.0,64.0,46.0,132.0,0.24,0.02,191.0,11.0,0.2,138.0,5.8,104.0,10.5,11.7,5.5,3.4,1.6,62.0,28.0,81.0,1.0
0040,17,4,acetaminophen,Single,6 hr,600,mg/kg,Middle,689.0,93.0,33.0,170.0,0.27,0.03,210.0,12.0,0.2,139.0,5.1,104.0,10.5,11.4,5.7,3.7,1.9,52.0,22.0,92.0,1.0
0040,17,5,acetaminophen,Single,6 hr,600,mg/kg,Middle,1001.0,81.0,29.0,144.0,0.27,0.04,218.0,10.0,0.3,141.0,4.2,105.0,10.3,11.4,5.6,3.5,1.7,60.0,24.0,78.0,1.0
0040,18,1,acetaminophen,Single,9 hr,600,mg/kg,Middle,782.0,81.0,45.0,140.0,0.25,0.13,176.0,15.0,0.3,140.8,5.55,104.7,10.3,10.6,5.6,3.6,1.8,70.0,28.0,76.0,2.0
0040,18,2,acetaminophen,Single,9 hr,600,mg/kg,Middle,921.0,97.0,39.0,174.0,0.27,0.08,196.0,14.0,0.3,139.4,5.59,103.2,10.6,11.3,5.9,3.4,1.36,55.0,25.0,91.0,1.0
0040,18,3,acetaminophen,Single,9 hr,600,mg/kg,Middle,960.0,94.0,50.0,170.0,0.28,0.1,227.0,13.0,0.3,141.9,5.23,106.3,11.3,13.0,5.7,3.4,1.48,54.0,35.0,73.0,1.0
0040,18,4,acetaminophen,Single,9 hr,600,mg/kg,Middle,789.0,105.0,29.0,168.0,0.21,0.11,198.0,12.0,0.3,140.2,6.09,104.8,10.0,10.9,5.7,3.5,1.59,61.0,28.0,101.0,1.0
0040,18,5,acetaminophen,Single,9 hr,600,mg/kg,Middle,1273.0,82.0,18.0,139.0,0.27,0.03,176.0,13.0,0.2,140.9,5.83,106.8,10.4,12.4,5.5,3.4,1.62,68.0,31.0,62.0,1.0
0040,19,1,acetaminophen,Single,24 hr,600,mg/kg,Middle,1395.0,85.0,167.0,168.0,0.28,0.04,182.0,17.0,0.4,141.0,5.8,104.0,10.8,9.4,6.0,4.1,2.2,59.0,46.0,97.0,1.0
0040,19,2,acetaminophen,Single,24 hr,600,mg/kg,Middle,1150.0,77.0,83.0,216.0,0.27,0.01,186.0,16.0,0.4,141.0,6.1,104.0,10.9,10.7,5.7,4.1,2.6,55.0,32.0,124.0,0.0
0040,19,3,acetaminophen,Single,24 hr,600,mg/kg,Middle,1061.0,105.0,264.0,164.0,0.27,0.02,203.0,18.0,0.4,139.0,5.5,103.0,11.3,10.4,6.0,4.0,2.0,54.0,35.0,120.0,3.0
0040,19,4,acetaminophen,Single,24 hr,600,mg/kg,Middle,1877.0,99.0,97.0,174.0,0.22,0.06,184.0,16.0,0.4,140.0,5.7,101.0,10.4,10.9,5.5,3.9,2.4,66.0,35.0,185.0,2.0
0040,19,5,acetaminophen,Single,24 hr,600,mg/kg,Middle,880.0,91.0,90.0,156.0,0.23,0.06,179.0,17.0,0.3,140.0,5.7,104.0,10.4,11.0,5.7,4.1,2.6,71.0,48.0,137.0,1.0
0040,21,1,acetaminophen,Single,3 hr,1000,mg/kg,High,871.0,92.0,52.0,147.0,0.21,0.04,196.0,15.0,0.3,139.0,5.3,103.0,10.2,10.8,5.6,3.6,1.8,63.0,36.0,88.0,1.0
0040,21,2,acetaminophen,Single,3 hr,1000,mg/kg,High,656.0,67.0,39.0,121.0,0.18,0.05,190.0,11.0,0.2,141.0,5.1,104.0,10.5,12.2,5.5,3.7,2.1,68.0,33.0,96.0,2.0
0040,21,3,acetaminophen,Single,3 hr,1000,mg/kg,High,706.0,93.0,92.0,169.0,0.21,0.08,209.0,14.0,0.3,138.0,4.9,100.0,11.1,11.0,5.8,3.8,1.9,66.0,45.0,104.0,5.0
0040,21,4,acetaminophen,Single,3 hr,1000,mg/kg,High,917.0,72.0,56.0,138.0,0.21,0.07,181.0,11.0,0.3,140.0,5.2,102.0,10.0,11.9,6.0,3.8,1.7,57.0,32.0,87.0,1.0
0040,21,5,acetaminophen,Single,3 hr,1000,mg/kg,High,902.0,87.0,35.0,148.0,0.2,0.07,199.0,13.0,0.2,140.0,5.0,101.0,11.3,11.3,5.7,3.6,1.7,77.0,38.0,66.0,1.0
0040,22,1,acetaminophen,Single,6 hr,1000,mg/kg,High,943.0,107.0,47.0,176.0,0.29,0.02,194.0,10.0,0.2,139.0,5.3,104.0,10.2,11.4,5.4,3.4,1.7,63.0,31.0,119.0,1.0
0040,22,2,acetaminophen,Single,6 hr,1000,mg/kg,High,782.0,92.0,38.0,156.0,0.24,0.02,204.0,12.0,0.3,140.0,5.2,102.0,10.7,11.2,5.6,3.5,1.7,56.0,29.0,147.0,1.0
0040,22,3,acetaminophen,Single,6 hr,1000,mg/kg,High,1149.0,78.0,34.0,134.0,0.25,0.05,201.0,11.0,0.2,139.0,5.5,102.0,10.3,11.9,5.3,3.5,1.9,66.0,31.0,133.0,1.0
0040,22,4,acetaminophen,Single,6 hr,1000,mg/kg,High,1199.0,102.0,36.0,175.0,0.29,0.05,210.0,14.0,0.2,138.0,6.8,104.0,10.7,13.0,5.5,3.5,1.8,65.0,34.0,101.0,2.0
0040,22,5,acetaminophen,Single,6 hr,1000,mg/kg,High,545.0,80.0,14.0,140.0,0.28,0.04,219.0,13.0,0.3,140.0,4.6,104.0,11.0,12.7,5.5,3.7,2.1,59.0,31.0,96.0,1.0
0040,23,1,acetaminophen,Single,9 hr,1000,mg/kg,High,733.0,94.0,102.0,158.0,0.21,0.14,186.0,14.0,0.4,138.8,6.06,103.9,10.9,9.2,5.9,3.8,1.81,57.0,32.0,129.0,1.0
0040,23,2,acetaminophen,Single,9 hr,1000,mg/kg,High,822.0,92.0,34.0,156.0,0.14,0.13,220.0,12.0,0.2,140.4,5.94,102.5,10.6,13.3,5.6,3.6,1.8,65.0,38.0,132.0,1.0
0040,23,3,acetaminophen,Single,9 hr,1000,mg/kg,High,654.0,75.0,37.0,131.0,0.26,0.09,212.0,12.0,0.2,139.4,5.11,105.6,10.4,10.1,5.4,3.5,1.84,61.0,33.0,116.0,1.0
0040,23,4,acetaminophen,Single,9 hr,1000,mg/kg,High,878.0,83.0,13.0,145.0,0.24,0.1,198.0,15.0,0.2,141.5,5.56,103.5,10.2,12.3,5.3,3.4,1.79,55.0,22.0,58.0,1.0
0040,23,5,acetaminophen,Single,9 hr,1000,mg/kg,High,706.0,94.0,31.0,157.0,0.31,0.1,191.0,8.0,0.3,140.7,8.27,108.1,11.2,14.2,5.6,3.7,1.95,63.0,29.0,101.0,1.0
0040,24,1,acetaminophen,Single,24 hr,1000,mg/kg,High,1412.0,76.0,135.0,149.0,0.26,0.06,170.0,18.0,0.2,141.0,6.1,106.0,10.4,9.3,5.5,4.0,2.7,73.0,46.0,127.0,2.0
0040,24,2,acetaminophen,Single,24 hr,1000,mg/kg,High,1220.0,85.0,105.0,160.0,0.26,0.08,176.0,17.0,0.3,143.0,5.4,104.0,10.6,11.0,5.7,4.1,2.6,96.0,79.0,183.0,1.0
0040,24,3,acetaminophen,Single,24 hr,1000,mg/kg,High,965.0,98.0,78.0,171.0,0.25,0.12,172.0,19.0,0.3,142.0,8.3,105.0,11.7,14.3,5.8,4.2,2.6,70.0,38.0,112.0,2.0
0040,24,4,acetaminophen,Single,24 hr,1000,mg/kg,High,1024.0,69.0,80.0,133.0,0.24,0.12,203.0,13.0,0.2,140.0,5.8,104.0,11.0,12.6,5.8,4.1,2.4,59.0,37.0,147.0,1.0
0040,24,5,acetaminophen,Single,24 hr,1000,mg/kg,High,931.0,108.0,85.0,172.0,0.23,0.23,191.0,18.0,0.3,140.0,6.0,104.0,11.2,12.1,5.8,3.8,1.9,84.0,55.0,103.0,0.0
0042,01,1,acetaminophen,Repeat,4 day,0,mg/kg,Control,678.0,91.0,134.0,166.0,0.27,0.0,218.0,17.0,0.4,143.0,4.3,103.0,10.9,9.2,6.1,3.6,1.4,63.0,37.0,87.0,2.0
0042,01,2,acetaminophen,Repeat,4 day,0,mg/kg,Control,800.0,89.0,226.0,200.0,0.27,0.01,176.0,17.0,0.4,143.0,5.1,106.0,11.0,9.2,6.2,3.8,1.6,56.0,43.0,74.0,3.0
0042,01,3,acetaminophen,Repeat,4 day,0,mg/kg,Control,932.0,83.0,163.0,178.0,0.24,0.0,179.0,22.0,0.3,141.0,6.1,104.0,10.9,9.4,5.7,3.6,1.7,66.0,36.0,91.0,3.0
0042,01,4,acetaminophen,Repeat,4 day,0,mg/kg,Control,833.0,73.0,66.0,145.0,0.3,0.03,204.0,19.0,0.2,141.0,5.3,104.0,10.7,10.6,5.7,3.3,1.4,66.0,34.0,174.0,0.0
0042,01,5,acetaminophen,Repeat,4 day,0,mg/kg,Control,862.0,76.0,44.0,144.0,0.23,0.03,208.0,16.0,0.4,143.0,6.0,102.0,11.4,11.9,6.2,3.9,1.7,61.0,42.0,107.0,2.0
0042,02,1,acetaminophen,Repeat,8 day,0,mg/kg,Control,853.0,109.0,156.0,201.0,0.19,0.02,209.0,19.0,0.5,144.0,5.3,105.0,10.6,9.5,6.2,3.8,1.6,56.0,23.0,132.0,1.0
0042,02,2,acetaminophen,Repeat,8 day,0,mg/kg,Control,784.0,80.0,237.0,194.0,0.21,0.01,184.0,22.0,0.4,146.0,5.1,104.0,11.5,10.7,6.6,3.8,1.4,56.0,26.0,131.0,1.0
0042,02,3,acetaminophen,Repeat,8 day,0,mg/kg,Control,869.0,73.0,90.0,147.0,0.23,0.0,184.0,17.0,0.3,144.0,5.2,107.0,10.7,9.7,5.9,3.8,1.8,55.0,25.0,120.0,2.0
0042,02,4,acetaminophen,Repeat,8 day,0,mg/kg,Control,752.0,71.0,49.0,140.0,0.19,0.04,208.0,19.0,0.3,144.0,4.8,108.0,10.5,8.3,5.6,3.6,1.8,69.0,36.0,216.0,1.0
0042,02,5,acetaminophen,Repeat,8 day,0,mg/kg,Control,743.0,72.0,100.0,151.0,0.22,0.02,179.0,20.0,0.4,143.0,5.3,104.0,10.8,9.6,5.9,3.6,1.6,65.0,31.0,115.0,4.0
0042,03,1,acetaminophen,Repeat,15 day,0,mg/kg,Control,1090.0,58.0,136.0,142.0,0.19,0.04,218.0,23.0,0.4,145.0,4.5,104.0,10.6,8.3,6.1,3.6,1.4,64.0,39.0,101.0,2.0
0042,03,2,acetaminophen,Repeat,15 day,0,mg/kg,Control,952.0,55.0,153.0,129.0,0.23,0.0,210.0,16.0,0.4,145.0,4.9,107.0,10.6,9.6,5.8,3.6,1.6,63.0,26.0,89.0,1.0
0042,03,3,acetaminophen,Repeat,15 day,0,mg/kg,Control,795.0,71.0,186.0,148.0,0.24,0.06,178.0,18.0,0.4,143.0,6.0,105.0,10.8,8.9,6.3,3.6,1.3,56.0,29.0,122.0,1.0
0042,03,5,acetaminophen,Repeat,15 day,0,mg/kg,Control,771.0,60.0,106.0,155.0,0.2,0.02,208.0,16.0,0.6,144.0,5.1,106.0,10.8,9.5,6.0,3.7,1.6,51.0,21.0,107.0,2.0
0042,04,1,acetaminophen,Repeat,29 day,0,mg/kg,Control,661.0,71.0,134.0,149.0,0.15,0.04,213.0,19.0,0.5,145.0,4.4,103.0,10.3,8.6,6.3,3.8,1.5,60.0,26.0,195.0,1.0
0042,04,2,acetaminophen,Repeat,29 day,0,mg/kg,Control,545.0,53.0,193.0,127.0,0.25,0.01,179.0,19.0,0.4,144.0,4.6,105.0,10.2,8.1,6.3,3.6,1.3,53.0,27.0,73.0,2.0
0042,04,3,acetaminophen,Repeat,29 day,0,mg/kg,Control,595.0,64.0,240.0,163.0,0.16,0.05,192.0,20.0,0.4,143.0,4.5,106.0,9.8,7.5,6.3,3.6,1.3,55.0,27.0,62.0,1.0
0042,04,4,acetaminophen,Repeat,29 day,0,mg/kg,Control,578.0,73.0,187.0,156.0,0.22,0.04,194.0,20.0,0.5,141.0,4.7,107.0,10.2,7.1,6.3,3.3,1.1,52.0,24.0,120.0,2.0
0042,04,5,acetaminophen,Repeat,29 day,0,mg/kg,Control,501.0,103.0,160.0,187.0,0.2,0.09,209.0,19.0,0.5,142.0,4.5,103.0,10.2,8.3,6.4,3.7,1.4,54.0,23.0,87.0,4.0
0042,09,1,acetaminophen,Repeat,4 day,300,mg/kg,Low,730.0,98.0,212.0,206.0,0.27,0.0,211.0,18.0,0.4,141.0,5.5,104.0,10.8,7.8,6.2,3.5,1.3,57.0,40.0,72.0,1.0
0042,09,2,acetaminophen,Repeat,4 day,300,mg/kg,Low,1305.0,88.0,90.0,158.0,0.29,0.05,205.0,19.0,0.4,143.0,4.6,106.0,11.1,7.7,5.7,3.2,1.3,63.0,30.0,114.0,2.0
0042,09,3,acetaminophen,Repeat,4 day,300,mg/kg,Low,1333.0,92.0,197.0,194.0,0.32,0.02,198.0,19.0,0.4,141.0,5.7,102.0,10.9,10.1,6.2,3.8,1.6,60.0,34.0,84.0,3.0
0042,09,4,acetaminophen,Repeat,4 day,300,mg/kg,Low,914.0,75.0,82.0,138.0,0.28,0.01,181.0,17.0,0.3,143.0,5.2,104.0,10.7,9.3,6.1,3.7,1.5,56.0,34.0,83.0,1.0
0042,09,5,acetaminophen,Repeat,4 day,300,mg/kg,Low,971.0,99.0,46.0,172.0,0.28,0.02,203.0,17.0,0.3,143.0,5.4,105.0,11.0,10.6,5.9,3.6,1.6,58.0,33.0,69.0,1.0
0042,10,1,acetaminophen,Repeat,8 day,300,mg/kg,Low,689.0,75.0,160.0,166.0,0.19,0.02,186.0,19.0,0.4,144.0,5.5,104.0,10.6,8.3,6.1,3.5,1.4,69.0,31.0,140.0,1.0
0042,10,2,acetaminophen,Repeat,8 day,300,mg/kg,Low,920.0,75.0,175.0,180.0,0.25,0.0,220.0,19.0,0.5,143.0,4.3,104.0,11.0,8.2,6.3,3.9,1.6,56.0,32.0,260.0,1.0
0042,10,3,acetaminophen,Repeat,8 day,300,mg/kg,Low,665.0,104.0,41.0,179.0,0.22,0.05,197.0,15.0,0.3,142.0,5.3,104.0,10.8,9.5,5.8,3.5,1.5,50.0,26.0,88.0,2.0
0042,10,4,acetaminophen,Repeat,8 day,300,mg/kg,Low,757.0,79.0,41.0,192.0,0.21,0.01,174.0,17.0,0.3,145.0,5.1,102.0,11.3,9.1,5.5,3.4,1.6,51.0,33.0,117.0,1.0
0042,10,5,acetaminophen,Repeat,8 day,300,mg/kg,Low,1035.0,67.0,101.0,178.0,0.19,0.01,215.0,17.0,0.3,143.0,5.5,103.0,11.0,10.1,5.9,3.7,1.7,58.0,33.0,86.0,1.0
0042,11,1,acetaminophen,Repeat,15 day,300,mg/kg,Low,773.0,62.0,219.0,165.0,0.22,0.03,210.0,21.0,0.4,143.0,4.8,104.0,10.2,8.3,6.2,3.7,1.5,67.0,37.0,220.0,1.0
0042,11,2,acetaminophen,Repeat,15 day,300,mg/kg,Low,645.0,66.0,177.0,155.0,0.27,0.04,193.0,19.0,0.3,142.0,5.3,106.0,10.5,7.0,6.4,3.8,1.5,55.0,22.0,226.0,1.0
0042,11,3,acetaminophen,Repeat,15 day,300,mg/kg,Low,744.0,68.0,213.0,163.0,0.21,0.06,199.0,17.0,0.5,144.0,5.0,105.0,10.9,7.7,5.9,3.6,1.6,55.0,34.0,128.0,4.0
0042,11,4,acetaminophen,Repeat,15 day,300,mg/kg,Low,561.0,68.0,208.0,162.0,0.23,0.04,186.0,17.0,0.4,143.0,5.5,105.0,10.6,8.9,5.9,3.6,1.6,49.0,23.0,136.0,1.0
0042,11,5,acetaminophen,Repeat,15 day,300,mg/kg,Low,790.0,68.0,231.0,162.0,0.23,0.0,195.0,15.0,0.3,141.0,5.1,105.0,10.7,9.8,6.3,3.8,1.5,60.0,34.0,95.0,1.0
0042,12,1,acetaminophen,Repeat,29 day,300,mg/kg,Low,757.0,79.0,139.0,166.0,0.19,0.06,241.0,21.0,0.5,142.0,5.6,106.0,10.1,8.2,6.3,3.7,1.4,69.0,32.0,113.0,1.0
