Source,Target,Type,Confidence,Source_Tool
drug:belinostat,ae:constipation,observed_in,1.0,LLM
ae:dyspnea,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:dyspnea,observed_in,1.0,LLM
ae:diarrhea,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:diarrhea,observed_in,1.0,LLM
ae:edema,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:edema,observed_in,1.0,LLM
ae:rash,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:rash,observed_in,1.0,LLM
ae:cough,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:cough,observed_in,1.0,LLM
ae:chills,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:chills,observed_in,1.0,LLM
ae:pruritus,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:pruritus,observed_in,1.0,LLM
ae:thrombocytopenia,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:thrombocytopenia,observed_in,1.0,LLM
ae:blood_lactate_dehydrogenase_increased,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:blood_lactate_dehydrogenase_increased,observed_in,1.0,LLM
ae:decreased_appetite,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:decreased_appetite,observed_in,1.0,LLM
ae:headache,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:headache,observed_in,1.0,LLM
ae:pain,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:pain,observed_in,1.0,LLM
ae:hypokalemia,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:hypokalemia,observed_in,1.0,LLM
ae:electrocardiogram_qt_prolonged,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:electrocardiogram_qt_prolonged,observed_in,1.0,LLM
ae:abdominal_pain,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:abdominal_pain,observed_in,1.0,LLM
ae:hypotension,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:hypotension,observed_in,1.0,LLM
ae:dizziness,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:dizziness,observed_in,1.0,LLM
ae:leukopenia,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:leukopenia,observed_in,1.0,LLM
ae:neutropenia,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:neutropenia,observed_in,1.0,LLM
ae:nausea,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:nausea,observed_in,1.0,LLM
ae:fatigue,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:fatigue,observed_in,1.0,LLM
ae:diarrhea,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:diarrhea,observed_in,1.0,LLM
ae:anemia,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:anemia,observed_in,1.0,LLM
ae:pain,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:pain,observed_in,1.0,LLM
ae:pyrexia,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:pyrexia,observed_in,1.0,LLM
ae:thrombocytopenia,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:thrombocytopenia,observed_in,1.0,LLM
ae:electrocardiogram_qt_prolonged,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:electrocardiogram_qt_prolonged,observed_in,1.0,LLM
ae:rash,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:rash,observed_in,1.0,LLM
ae:decreased_appetite,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:decreased_appetite,observed_in,1.0,LLM
ae:phlebitis,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:phlebitis,observed_in,1.0,LLM
ae:chills,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:chills,observed_in,1.0,LLM
ae:constipation,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:constipation,observed_in,1.0,LLM
ae:flushing,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:flushing,observed_in,1.0,LLM
ae:dizziness,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:dizziness,observed_in,1.0,LLM
ae:dyspnea,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:dyspnea,observed_in,1.0,LLM
ae:neutropenia,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:neutropenia,observed_in,1.0,LLM
ae:leukopenia,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:leukopenia,observed_in,1.0,LLM
ae:multi-organ_failure,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:multi-organ_failure,observed_in,1.0,LLM
ae:cardiac_failure,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:cardiac_failure,observed_in,1.0,LLM
ae:hepatic_failure,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:hepatic_failure,observed_in,1.0,LLM
ae:lung_infection,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:lung_infection,observed_in,1.0,LLM
ae:gastrointestinal_hemorrhage,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:gastrointestinal_hemorrhage,observed_in,1.0,LLM
ae:shock,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:shock,observed_in,1.0,LLM
ae:pneumonia,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:pneumonia,observed_in,1.0,LLM
ae:pyrexia,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:pyrexia,observed_in,1.0,LLM
ae:infection,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:infection,observed_in,1.0,LLM
ae:pyrexia,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:pyrexia,observed_in,1.0,LLM
ae:thrombocytopenia,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:thrombocytopenia,observed_in,1.0,LLM
ae:blood_creatinine_increased,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:blood_creatinine_increased,observed_in,1.0,LLM
ae:pneumonia,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:pneumonia,observed_in,1.0,LLM
ae:infection,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:infection,observed_in,1.0,LLM
ae:anemia,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:anemia,observed_in,1.0,LLM
ae:deep_vein_thrombosis,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:deep_vein_thrombosis,observed_in,1.0,LLM
ae:pulmonary_embolism,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:pulmonary_embolism,observed_in,1.0,LLM
ae:febrile_neutropenia,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:febrile_neutropenia,observed_in,1.0,LLM
ae:sepsis,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:sepsis,observed_in,1.0,LLM
ae:fatigue,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:fatigue,observed_in,1.0,LLM
ae:anemia,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:anemia,observed_in,1.0,LLM
ae:fatigue,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:fatigue,observed_in,1.0,LLM
ae:febrile_neutropenia,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:febrile_neutropenia,observed_in,1.0,LLM
ae:multi-organ_failure,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:multi-organ_failure,observed_in,1.0,LLM
ae:pneumonia,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:pneumonia,observed_in,1.0,LLM
ae:thrombocytopenia,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:thrombocytopenia,observed_in,1.0,LLM
ae:platelet_count_decreased,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:platelet_count_decreased,observed_in,1.0,LLM
ae:nausea,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:nausea,observed_in,1.0,LLM
ae:fatigue,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:fatigue,observed_in,1.0,LLM
ae:all_grade_3-4_teaes,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:all_grade_3-4_teaes,observed_in,1.0,LLM
ae:all_related_grade_3-4_teaes,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:all_related_grade_3-4_teaes,observed_in,1.0,LLM
ae:nausea,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:nausea,observed_in,1.0,LLM
ae:fatigue,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:fatigue,observed_in,1.0,LLM
ae:vomiting,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:vomiting,observed_in,1.0,LLM
ae:constipation,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:constipation,observed_in,1.0,LLM
ae:diarrhea,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:diarrhea,observed_in,1.0,LLM
ae:pyrexia,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:pyrexia,observed_in,1.0,LLM
ae:fatigue,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:fatigue,observed_in,1.0,LLM
ae:vomiting,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:vomiting,observed_in,1.0,LLM
ae:constipation,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:constipation,observed_in,1.0,LLM
ae:diarrhea,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:diarrhea,observed_in,1.0,LLM
ae:pyrexia,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:pyrexia,observed_in,1.0,LLM
ae:dyspnea,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:dyspnea,observed_in,1.0,LLM
ae:cough,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:cough,observed_in,1.0,LLM
ae:anemia,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:anemia,observed_in,1.0,LLM
ae:headache,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:headache,observed_in,1.0,LLM
ae:anorexia,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:anorexia,observed_in,1.0,LLM
ae:edema,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:edema,observed_in,1.0,LLM
ae:pain,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:pain,observed_in,1.0,LLM
ae:pain,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:pain,observed_in,1.0,LLM
ae:rash,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:rash,observed_in,1.0,LLM
ae:thrombocytopenia,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:thrombocytopenia,observed_in,1.0,LLM
ae:blood_creatinine_increased,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:blood_creatinine_increased,observed_in,1.0,LLM
ae:dry_mouth,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:dry_mouth,observed_in,1.0,LLM
ae:thrombocytopenia,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:thrombocytopenia,observed_in,1.0,LLM
ae:neutropenia,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:neutropenia,observed_in,1.0,LLM
ae:anemia,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:anemia,observed_in,1.0,LLM
ae:nausea,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:nausea,observed_in,1.0,LLM
ae:vomiting,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:vomiting,observed_in,1.0,LLM
ae:fatigue,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:fatigue,observed_in,1.0,LLM
ae:diarrhea,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:diarrhea,observed_in,1.0,LLM
ae:flushing,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:flushing,observed_in,1.0,LLM
ae:rash,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:rash,observed_in,1.0,LLM
ae:thrombocytopenia,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:thrombocytopenia,observed_in,1.0,LLM
ae:blood_creatinine_increased,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:blood_creatinine_increased,observed_in,1.0,LLM
ae:hemoglobin_decreased,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:hemoglobin_decreased,observed_in,1.0,LLM
ae:dry_mouth,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:dry_mouth,observed_in,1.0,LLM
ae:decreased_appetite,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:decreased_appetite,observed_in,1.0,LLM
ae:peripheral_sensory_neuropathy,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:peripheral_sensory_neuropathy,observed_in,1.0,LLM
ae:dehydration,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:dehydration,observed_in,1.0,LLM
ae:neutropenia,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:neutropenia,observed_in,1.0,LLM
ae:weight_decreased,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:weight_decreased,observed_in,1.0,LLM
ae:alopecia,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:alopecia,observed_in,1.0,LLM
ae:neuropathy_peripheral,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:neuropathy_peripheral,observed_in,1.0,LLM
ae:stomatitis,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:stomatitis,observed_in,1.0,LLM
ae:dysphonia,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:dysphonia,observed_in,1.0,LLM
ae:neutrophil_count_decreased,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:neutrophil_count_decreased,observed_in,1.0,LLM
ae:febrile_neutropenia,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:febrile_neutropenia,observed_in,1.0,LLM
ae:neutrophil_count_decreased,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:neutrophil_count_decreased,observed_in,1.0,LLM
ae:febrile_neutropenia,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:febrile_neutropenia,observed_in,1.0,LLM
ae:platelet_count_decreased,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:platelet_count_decreased,observed_in,1.0,LLM
ae:upper_respiratory_tract_infection,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:upper_respiratory_tract_infection,observed_in,1.0,LLM
ae:white_blood_cell_count_decreased,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:white_blood_cell_count_decreased,observed_in,1.0,LLM
ae:pyrexia,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:pyrexia,observed_in,1.0,LLM
ae:death,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:death,observed_in,1.0,LLM
ae:death,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:death,observed_in,1.0,LLM
ae:death,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:death,observed_in,1.0,LLM
ae:death,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:death,observed_in,1.0,LLM
ae:death,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:death,observed_in,1.0,LLM
ae:death,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:death,observed_in,1.0,LLM
ae:ventricular_fibrillation,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:ventricular_fibrillation,observed_in,1.0,LLM
ae:sepsis,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:sepsis,observed_in,1.0,LLM
ae:febrile_bone_marrow_aplasia,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:febrile_bone_marrow_aplasia,observed_in,1.0,LLM
ae:neutropenic_infection,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:neutropenic_infection,observed_in,1.0,LLM
ae:pyrexia,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:pyrexia,observed_in,1.0,LLM
ae:disease_progression,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:disease_progression,observed_in,1.0,LLM
ae:vomiting,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:vomiting,observed_in,1.0,LLM
ae:febrile_neutropenia,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:febrile_neutropenia,observed_in,1.0,LLM
ae:fatigue,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:fatigue,observed_in,1.0,LLM
ae:disease_progression,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:disease_progression,observed_in,1.0,LLM
ae:pyrexia,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:pyrexia,observed_in,1.0,LLM
ae:pyrexia,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:pyrexia,observed_in,1.0,LLM
ae:disease_progression,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:disease_progression,observed_in,1.0,LLM
ae:pneumonia,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:pneumonia,observed_in,1.0,LLM
ae:dyspnea,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:dyspnea,observed_in,1.0,LLM
ae:infection,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:infection,observed_in,1.0,LLM
ae:nausea,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:nausea,observed_in,1.0,LLM
ae:vomiting,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:vomiting,observed_in,1.0,LLM
ae:anemia,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:anemia,observed_in,1.0,LLM
ae:blood_creatinine_increased,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:blood_creatinine_increased,observed_in,1.0,LLM
ae:dehydration,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:dehydration,observed_in,1.0,LLM
ae:fatigue,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:fatigue,observed_in,1.0,LLM
ae:febrile_neutropenia,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:febrile_neutropenia,observed_in,1.0,LLM
ae:fatigue,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:fatigue,observed_in,1.0,LLM
ae:febrile_neutropenia,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:febrile_neutropenia,observed_in,1.0,LLM
ae:pulmonary_embolism,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:pulmonary_embolism,observed_in,1.0,LLM
ae:drug_hypersensitivity,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:drug_hypersensitivity,observed_in,1.0,LLM
ae:neutropenia,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:neutropenia,observed_in,1.0,LLM
ae:hyponatremia,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:hyponatremia,observed_in,1.0,LLM
ae:diarrhea,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:diarrhea,observed_in,1.0,LLM
ae:dizziness,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:dizziness,observed_in,1.0,LLM
ae:gastric_hemorrhage,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:gastric_hemorrhage,observed_in,1.0,LLM
ae:hematuria,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:hematuria,observed_in,1.0,LLM
ae:rectal_hemorrhage,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:rectal_hemorrhage,observed_in,1.0,LLM
ae:respiratory_failure,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:respiratory_failure,observed_in,1.0,LLM
ae:proctalgia,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:proctalgia,observed_in,1.0,LLM
ae:skin_infection,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:skin_infection,observed_in,1.0,LLM
ae:small_intestinal_performation,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:small_intestinal_performation,observed_in,1.0,LLM
ae:syncope,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:syncope,observed_in,1.0,LLM
ae:fatigue,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:fatigue,observed_in,1.0,LLM
ae:nausea,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:nausea,observed_in,1.0,LLM
ae:vomiting,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:vomiting,observed_in,1.0,LLM
ae:dyspnea,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:dyspnea,observed_in,1.0,LLM
ae:diarrhea,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:diarrhea,observed_in,1.0,LLM
ae:neuropathy_peripheral,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:neuropathy_peripheral,observed_in,1.0,LLM
ae:respiratory_failure,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:respiratory_failure,observed_in,1.0,LLM
ae:nausea,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:nausea,observed_in,1.0,LLM
ae:fatigue,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:fatigue,observed_in,1.0,LLM
ae:vomiting,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:vomiting,observed_in,1.0,LLM
ae:torsades_de_pointes,study:CLN-19,observed_in,1.0,LLM
drug:belinostat,ae:torsades_de_pointes,observed_in,1.0,LLM
drug:belinostat,animal_study:rat,tested_in,1.0,LLM
drug:belinostat,animal_study:dog,tested_in,1.0,LLM
drug:belinostat,animal_study:mouse,tested_in,1.0,LLM
drug:belinostat,animal_study:rat,tested_in,1.0,LLM
drug:belinostat,animal_study:mouse,tested_in,1.0,LLM
drug:belinostat,target:hdac1,associated_with,1.0,LLM
drug:belinostat,target:hdac2,associated_with,1.0,LLM
drug:belinostat,target:hdac3,associated_with,1.0,LLM
drug:belinostat,target:hdac8,associated_with,1.0,LLM
drug:belinostat,target:hdac4,associated_with,1.0,LLM
drug:belinostat,target:hdac7,associated_with,1.0,LLM
drug:belinostat,target:hdac9,associated_with,1.0,LLM
drug:belinostat,target:hdac6,associated_with,1.0,LLM
drug:belinostat,target:hdac,associated_with,1.0,LLM
drug:belinostat,target:hdac,associated_with,1.0,LLM_Semantic_Extraction
drug:belinostat,adverse_event:reproductive_toxicity_studies,tested_in,1.0,LLM_Semantic_Extraction
drug:belinostat,target:hdac1,associated_with,1.0,LLM_Semantic_Extraction
drug:belinostat,target:hdac2,associated_with,1.0,LLM_Semantic_Extraction
drug:belinostat,target:hdac3,associated_with,1.0,LLM_Semantic_Extraction
drug:belinostat,target:hdac8,associated_with,1.0,LLM_Semantic_Extraction
drug:belinostat,target:hdac4,associated_with,1.0,LLM_Semantic_Extraction
drug:belinostat,target:hdac7,associated_with,1.0,LLM_Semantic_Extraction
drug:belinostat,target:hdac9,associated_with,1.0,LLM_Semantic_Extraction
drug:belinostat,target:hdac6,associated_with,1.0,LLM_Semantic_Extraction
drug:belinostat,adverse_event:developmental_toxicity,observed_in,1.0,LLM_Semantic_Extraction
drug:belinostat,ae:gastrointestinal_toxicity,associated_with,1.0,LLM_Semantic_Extraction
drug:belinostat,ae:weight_loss,associated_with,1.0,LLM_Semantic_Extraction
drug:belinostat,target:hdac1,associated_with,1.0,LLM_Semantic_Extraction
drug:belinostat,target:hdac2,associated_with,1.0,LLM_Semantic_Extraction
drug:belinostat,target:hdac3,associated_with,1.0,LLM_Semantic_Extraction
drug:belinostat,target:hdac,associated_with,1.0,LLM_Semantic_Extraction
study:CLN-19,drug:belinostat,linked_to,1.0,LLM_Semantic_Extraction
drug:belinostat,ae:nausea,observed_in,1.0,LLM_Semantic_Extraction
drug:belinostat,ae:fatigue,observed_in,1.0,LLM_Semantic_Extraction
drug:belinostat,ae:pyrexia,observed_in,1.0,LLM_Semantic_Extraction
drug:belinostat,ae:anemia,observed_in,1.0,LLM_Semantic_Extraction
drug:belinostat,ae:vomiting,observed_in,1.0,LLM_Semantic_Extraction
drug:belinostat,ae:thrombocytopenia,observed_in,1.0,LLM_Semantic_Extraction
drug:belinostat,ae:dyspnea,observed_in,1.0,LLM_Semantic_Extraction
