n,r,m
"(:Drug {iupac_name: N-hydroxy-3-[3-(phenylsulfamoyl)phenyl]prop-2-enamide, drug_name: Belinostat, smiles: C1=CC=C(C=C1)NS(=O)(=O)C2=CC=CC(=C2)C=CC(=O)NO, h_donor: 3, h_acceptor: 5, tpsa: 104, molecular_weight: 318.3, chembl_id: CHEMBL408513, logp: 1.7, cid: 53437714})","[:SIMILAR_TO {score: 0.48, metric: Tanimoto, rank: 3, shared_structural_features: Moderately Similar. Also contains the N-hydroxycinnamamide bioactive fragment. It utilizes a bulkier benzimidazole cap instead of Belinostat's simpler phenyl-sulfonamide cap.}]",(:Drug {drug_name: Pracinostat})
"(:Drug {iupac_name: N-hydroxy-3-[3-(phenylsulfamoyl)phenyl]prop-2-enamide, drug_name: Belinostat, smiles: C1=CC=C(C=C1)NS(=O)(=O)C2=CC=CC(=C2)C=CC(=O)NO, h_donor: 3, h_acceptor: 5, tpsa: 104, molecular_weight: 318.3, chembl_id: CHEMBL408513, logp: 1.7, cid: 53437714})","[:SIMILAR_TO {score: 0.42, metric: Tanimoto, rank: 4, shared_structural_features: Moderately Similar. Like Belinostat, it is built on the N-hydroxycinnamamide fragment. The similarity drops because Panobinostat uses a much larger methyl-indole cap and an ethylamine linker.}]",(:Drug {drug_name: Panobinostat})
"(:Drug {iupac_name: N-hydroxy-3-[3-(phenylsulfamoyl)phenyl]prop-2-enamide, drug_name: Belinostat, smiles: C1=CC=C(C=C1)NS(=O)(=O)C2=CC=CC(=C2)C=CC(=O)NO, h_donor: 3, h_acceptor: 5, tpsa: 104, molecular_weight: 318.3, chembl_id: CHEMBL408513, logp: 1.7, cid: 53437714})","[:SIMILAR_TO {score: 0.32, metric: Tanimoto, rank: 5, shared_structural_features: Distantly Similar. Both are hydroxamic acids with a phenyl cap. However, Vorinostat uses a long, flexible, linear aliphatic chain to connect them, completely lacking the rigid double-bond (alkene) and sulfonamide found in Belinostat.}]",(:Drug {drug_name: Vorinostat})
"(:StudyMetadata {sponsor: Spectrum Pharmaceuticals, study_design: Uncontrolled, IV Monotherapy, study_ids: [CLN-19, CLN-20, SPI-BEL-103, SPI-BEL-1014, SPI-BEL-104], study_phase: Phase 2, status: Completed})",null,null
"(:PopulationCharacteristics {age_range: 29-81, median_age: 63.0, sample_size: 1186, disease_subtype: Relapsed or refractory PTCL, female_percent: 46.5, male_percent: 53.5, disease_indication: Peripheral T-Cell Lymphoma})",null,null
"(:DosingAdministration {schedule: Days 1-5 q 21 days, route: IV, dose_level: 500, infusion_duration: 30 minutes, cycle_length: 21 days})",null,null
"(:Pharmacokinetics {half_life: 1.1 hours, protein_binding_percent: 94, clearance: 1,240 mL/min, metabolism: UGT1A1, auc: 21,057 to 31,358 h*ng/mL (at 1,000 mg/m2), cmax: -0.00001772})",null,null
"(:EligibilityCriteria {creatinine_clearance: >=45 mL/min/1.73 m2, anc: >=1.0 x 10^9/L (to resume treatment), bilirubin: <=1.5 x ULN, platelet: >=50 x 10^9/L (to resume treatment), alt_ast: Monitoring required})",null,null
"(:TreatmentManagement {supportive_care: [Antiemetics, Growth factors], platelet_nadir_threshold: <25 x 10^9/L (reduce 25%), dose_reductions: [1500 mg/m², 1000 mg/m², 750 mg/m², 500 mg/m², 750 mg/day], anc_nadir_threshold: <0.5 x 10^9/L (reduce 25%)})",null,null
"(:MechanismOfAction {cellular_effects: Belinostat caused accumulation of acetylated histones and proteins, inducing cell cycle arrest and/or apoptosis of transformed cells, description: HDAC inhibitor, molecular_targets: [HDAC1, HDAC2, HDAC3, HDAC8, HDAC4, HDAC7, HDAC9, HDAC6]})",null,null
"(:PreclinicalToxicology {summary: Systemic exposures increase with dose; plasma levels decline rapidly with elimination half-life between 0.35-1.23 hours in rats and 0.45-1.61 hours in dogs., species: [Rat, Dog], target_organs: [Liver, Bone marrow]})",null,null
(:Genotoxicity {conclusion: Belinostat is a genotoxic agent targeting rapidly dividing cells.}),null,null
(:Carcinogenicity {studies_conducted: No}),null,null
(:StudyOverview {name: Belinostat Study Overview}),[:HAS_STUDY_METADATA],"(:StudyMetadata {sponsor: Spectrum Pharmaceuticals, study_design: Uncontrolled, IV Monotherapy, study_ids: [CLN-19, CLN-20, SPI-BEL-103, SPI-BEL-1014, SPI-BEL-104], study_phase: Phase 2, status: Completed})"
(:StudyOverview {name: Belinostat Study Overview}),[:HAS_POPULATION_CHARACTERISTICS],"(:PopulationCharacteristics {age_range: 29-81, median_age: 63.0, sample_size: 1186, disease_subtype: Relapsed or refractory PTCL, female_percent: 46.5, male_percent: 53.5, disease_indication: Peripheral T-Cell Lymphoma})"
(:StudyOverview {name: Belinostat Study Overview}),[:HAS_DOSING_ADMINISTRATION],"(:DosingAdministration {schedule: Days 1-5 q 21 days, route: IV, dose_level: 500, infusion_duration: 30 minutes, cycle_length: 21 days})"
(:ClinicalData {name: Belinostat Clinical Data}),[:HAS_PHARMACOKINETICS],"(:Pharmacokinetics {half_life: 1.1 hours, protein_binding_percent: 94, clearance: 1,240 mL/min, metabolism: UGT1A1, auc: 21,057 to 31,358 h*ng/mL (at 1,000 mg/m2), cmax: -0.00001772})"
(:ClinicalData {name: Belinostat Clinical Data}),[:HAS_ELIGIBILITY_CRITERIA],"(:EligibilityCriteria {creatinine_clearance: >=45 mL/min/1.73 m2, anc: >=1.0 x 10^9/L (to resume treatment), bilirubin: <=1.5 x ULN, platelet: >=50 x 10^9/L (to resume treatment), alt_ast: Monitoring required})"
(:ClinicalData {name: Belinostat Clinical Data}),[:HAS_TREATMENT_MANAGEMENT],"(:TreatmentManagement {supportive_care: [Antiemetics, Growth factors], platelet_nadir_threshold: <25 x 10^9/L (reduce 25%), dose_reductions: [1500 mg/m², 1000 mg/m², 750 mg/m², 500 mg/m², 750 mg/day], anc_nadir_threshold: <0.5 x 10^9/L (reduce 25%)})"
(:PreClinicalData {name: Belinostat Pre-Clinical Data}),[:HAS_MECHANISM_OF_ACTION],"(:MechanismOfAction {cellular_effects: Belinostat caused accumulation of acetylated histones and proteins, inducing cell cycle arrest and/or apoptosis of transformed cells, description: HDAC inhibitor, molecular_targets: [HDAC1, HDAC2, HDAC3, HDAC8, HDAC4, HDAC7, HDAC9, HDAC6]})"
(:PreClinicalData {name: Belinostat Pre-Clinical Data}),[:HAS_PRECLINICAL_TOXICOLOGY],"(:PreclinicalToxicology {summary: Systemic exposures increase with dose; plasma levels decline rapidly with elimination half-life between 0.35-1.23 hours in rats and 0.45-1.61 hours in dogs., species: [Rat, Dog], target_organs: [Liver, Bone marrow]})"
(:PreClinicalData {name: Belinostat Pre-Clinical Data}),[:HAS_GENOTOXICITY],(:Genotoxicity {conclusion: Belinostat is a genotoxic agent targeting rapidly dividing cells.})
(:PreClinicalData {name: Belinostat Pre-Clinical Data}),[:HAS_CARCINOGENICITY],(:Carcinogenicity {studies_conducted: No})
(:PreClinicalData {name: Belinostat Pre-Clinical Data}),[:HAS_REPRODUCTIVE_TOXICITY],"(:ReproductiveToxicity {warnings: Belinostat belongs to the histone deacetylase inhibitor class known to cause developmental toxicity., developmental_warnings: Belinostat is indicated for advanced cancer treatment; reproductive studies deemed unnecessary per ICH S9 guidance.})"
(:PreClinicalData {name: Belinostat Pre-Clinical Data}),[:TESTED_IN],(:Species {name: Rat})
(:PreClinicalData {name: Belinostat Pre-Clinical Data}),[:TESTED_IN],(:Species {name: Dog})
(:PreClinicalData {name: Belinostat Pre-Clinical Data}),[:HAS_CLINICAL_CHEMISTRY],"(:ClinicalChemistry {unit: ALT fold-change, parameter: Alanine Aminotransferase, name: Belinostat ALT Clinical Chemistry})"
"(:ReproductiveToxicity {warnings: Belinostat belongs to the histone deacetylase inhibitor class known to cause developmental toxicity., developmental_warnings: Belinostat is indicated for advanced cancer treatment; reproductive studies deemed unnecessary per ICH S9 guidance.})",null,null
(:DrugProductInfo {name: Belinostat Drug Product Info}),[:HAS_FORMULATION_STABILITY],"(:FormulationStability {stability_after_reconstitution: 12 hours at ambient temperature (15℃-25℃; 59ºF-77°F), storage: 20º to 25℃ (68° to 77ºF), type: Lyophilized powder for injection, excipients: [L-Arginine, Mannitol, Sodium hydroxide], shelf_life: 36 months})"
(:DrugProductInfo {name: Belinostat Drug Product Info}),[:HAS_DRUG_INTERACTIONS],"(:DrugInteractions {cyp_interactions: Interaction with CYP3A4 enzymes., clinical_significance: Potential for increased plasma levels of co-administered drugs metabolized by CYP3A4., interacting_drugs: [5-FU, carboplatin, paclitaxel, bortezomib, docetaxel, erlotinib, trabectedin, sorafenib, Warfarin, CYP3A4 substrates]})"
(:DrugProductInfo {name: Belinostat Drug Product Info}),[:HAS_CONTRAINDICATIONS],"(:Contraindications {list: [Severe hepatic impairment, Hypersensitivity], rationale: Risk of severe toxicity in hepatic impairment and allergic reactions.})"
(:DrugProductInfo {name: Belinostat Drug Product Info}),[:HAS_SPECIAL_POPULATIONS],"(:SpecialPopulations {pregnancy: Developmental toxicity warnings, hepatic_impairment: Moderate/severe impairment excluded, pediatric: No pediatric patients included})"
"(:FormulationStability {stability_after_reconstitution: 12 hours at ambient temperature (15℃-25℃; 59ºF-77°F), storage: 20º to 25℃ (68° to 77ºF), type: Lyophilized powder for injection, excipients: [L-Arginine, Mannitol, Sodium hydroxide], shelf_life: 36 months})",null,null
"(:DrugInteractions {cyp_interactions: Interaction with CYP3A4 enzymes., clinical_significance: Potential for increased plasma levels of co-administered drugs metabolized by CYP3A4., interacting_drugs: [5-FU, carboplatin, paclitaxel, bortezomib, docetaxel, erlotinib, trabectedin, sorafenib, Warfarin, CYP3A4 substrates]})",null,null
"(:Contraindications {list: [Severe hepatic impairment, Hypersensitivity], rationale: Risk of severe toxicity in hepatic impairment and allergic reactions.})",null,null
"(:SpecialPopulations {pregnancy: Developmental toxicity warnings, hepatic_impairment: Moderate/severe impairment excluded, pediatric: No pediatric patients included})",null,null
(:SafetyEfficacy {name: Belinostat Safety & Efficacy}),[:HAS_SAFETY_DATA],"(:SafetyData {death_count: 22, qtc_change: No significant QTc prolongation, total_aes: 205, hepatotoxicity_warning: One patient died with hepatic failure, which was considered related to belinostat treatment.})"
(:SafetyEfficacy {name: Belinostat Safety & Efficacy}),[:HAS_EFFICACY_OUTCOMES],"(:EfficacyOutcomes {median_duration_of_response: 13.6 months, pr_rate_percent: 15.0, cr_rate_percent: 10.8, median_time_to_response: 6 weeks, orr_percent: 25.8})"
(:SafetyEfficacy {name: Belinostat Safety & Efficacy}),[:HAS_SUBGROUP_EFFICACY],"(:SubgroupEfficacy {aitl_percent: 45.5, ptcl_nos_percent: 23.4})"
"(:SafetyData {death_count: 22, qtc_change: No significant QTc prolongation, total_aes: 205, hepatotoxicity_warning: One patient died with hepatic failure, which was considered related to belinostat treatment.})",null,null
"(:EfficacyOutcomes {median_duration_of_response: 13.6 months, pr_rate_percent: 15.0, cr_rate_percent: 10.8, median_time_to_response: 6 weeks, orr_percent: 25.8})",null,null
"(:SubgroupEfficacy {aitl_percent: 45.5, ptcl_nos_percent: 23.4})",null,null
(:AdverseEvents {name: Belinostat Adverse Events}),[:HAS_EVENT],"(:AdverseEvent {grade34_percents: [0.8, 0.8], teae: true, sae: false, counts: [54, 55, 50], name: Nausea, percents: [41.9, 42.6, 38.8], grade34_counts: [1, 1]})"
(:AdverseEvents {name: Belinostat Adverse Events}),[:HAS_EVENT],"(:AdverseEvent {grade34_percents: [5.4, 3.1], teae: true, sae: false, counts: [48, 48, 37], name: Fatigue, percents: [37.2, 37.2, 28.7, 5.4], grade34_counts: [7, 4]})"
(:AdverseEvents {name: Belinostat Adverse Events}),[:HAS_EVENT],"(:AdverseEvent {grade34_percents: [2.3], teae: true, sae: false, counts: [45, 47], name: Pyrexia, percents: [34.9, 36.4], grade34_counts: [3]})"
(:AdverseEvents {name: Belinostat Adverse Events}),[:HAS_EVENT],"(:AdverseEvent {grade34_percents: [10.9, 11.6], teae: true, sae: false, counts: [41, 41], name: Anemia, percents: [31.8, 11.6], grade34_counts: [14, 15]})"
(:AdverseEvents {name: Belinostat Adverse Events}),[:HAS_EVENT],"(:AdverseEvent {grade34_percents: [7.0, 7.8], teae: true, sae: false, counts: [14, 21], name: Thrombocytopenia, percents: [10.9, 7.8, 16.3], grade34_counts: [9, 10]})"
(:AdverseEvents {name: Belinostat Adverse Events}),[:HAS_EVENT],"(:AdverseEvent {grade34_percents: [6.2, 7.0], teae: true, sae: false, counts: [29], name: Dyspnea, percents: [7.0, 22.5], grade34_counts: [8, 9]})"
(:AdverseEvents {name: Belinostat Adverse Events}),[:HAS_EVENT],"(:AdverseEvent {grade34_percents: [6.2], teae: true, sae: false, counts: [13], name: Neutropenia, percents: [6.2, 10.1], grade34_counts: [8]})"
(:AdverseEvents {name: Belinostat Adverse Events}),[:HAS_EVENT],"(:AdverseEvent {grade34_percents: [5.4], teae: true, sae: true, counts: [], name: Pneumonia, percents: [], grade34_counts: [7]})"
(:AdverseEvents {name: Belinostat Adverse Events}),[:HAS_EVENT],"(:AdverseEvent {grade34_percents: [0.8], teae: true, sae: false, counts: [37], name: Vomiting, percents: [28.7], grade34_counts: [1]})"
(:AdverseEvents {name: Belinostat Adverse Events}),[:HAS_EVENT],"(:AdverseEvent {grade34_percents: [0.8], teae: true, sae: false, counts: [30], name: Constipation, percents: [23.3], grade34_counts: [1]})"
(:AdverseEvents {name: Belinostat Adverse Events}),[:HAS_EVENT],"(:AdverseEvent {grade34_percents: [1.6], teae: true, sae: false, counts: [28], name: Diarrhea, percents: [21.7], grade34_counts: [2]})"
(:AdverseEvents {name: Belinostat Adverse Events}),[:HAS_EVENT],"(:AdverseEvent {grade34_percents: [0], teae: true, sae: false, counts: [27], name: Edema Peripheral, percents: [20.9], grade34_counts: [0]})"
(:AdverseEvents {name: Belinostat Adverse Events}),[:HAS_EVENT],"(:AdverseEvent {grade34_percents: [0.8], teae: true, sae: false, counts: [26], name: Rash, percents: [20.2], grade34_counts: [1]})"
(:AdverseEvents {name: Belinostat Adverse Events}),[:HAS_EVENT],"(:AdverseEvent {grade34_percents: [0], teae: true, sae: false, counts: [25], name: Cough, percents: [19.4], grade34_counts: [0]})"
(:AdverseEvents {name: Belinostat Adverse Events}),[:HAS_EVENT],"(:AdverseEvent {grade34_percents: [1.6], teae: true, sae: false, counts: [21], name: Chills, percents: [16.3], grade34_counts: [2]})"
(:AdverseEvents {name: Belinostat Adverse Events}),[:HAS_EVENT],"(:AdverseEvent {grade34_percents: [3.1], teae: true, sae: false, counts: [21], name: Pruritus, percents: [16.3], grade34_counts: [4]})"
(:AdverseEvents {name: Belinostat Adverse Events}),[:HAS_EVENT],"(:AdverseEvent {grade34_percents: [5.4], teae: true, sae: false, counts: [17], name: Hypokalemia, percents: [5.4, 13.2], grade34_counts: [7]})"
(:AdverseEvents {name: Belinostat Adverse Events}),[:HAS_EVENT],"(:AdverseEvent {grade34_percents: [1.6], teae: true, sae: false, counts: [20], name: Blood Lactate Dehydrogenase Increased, percents: [15.5], grade34_counts: [2]})"
(:AdverseEvents {name: Belinostat Adverse Events}),[:HAS_EVENT],"(:AdverseEvent {grade34_percents: [2.3], teae: true, sae: false, counts: [20], name: Decreased Appetite, percents: [15.5], grade34_counts: [3]})"
(:AdverseEvents {name: Belinostat Adverse Events}),[:HAS_EVENT],"(:AdverseEvent {grade34_percents: [0], teae: true, sae: false, counts: [19], name: Headache, percents: [14.7], grade34_counts: [0]})"
(:AdverseEvents {name: Belinostat Adverse Events}),[:HAS_EVENT],"(:AdverseEvent {grade34_percents: [0], teae: true, sae: false, counts: [18], name: Infusion Site Pain, percents: [14.0], grade34_counts: [0]})"
(:AdverseEvents {name: Belinostat Adverse Events}),[:HAS_EVENT],"(:AdverseEvent {grade34_percents: [3.9], teae: true, sae: false, counts: [15], name: Electrocardiogram QT Prolonged, percents: [11.6], grade34_counts: [5]})"
(:AdverseEvents {name: Belinostat Adverse Events}),[:HAS_EVENT],"(:AdverseEvent {grade34_percents: [0.8], teae: true, sae: false, counts: [14], name: Abdominal Pain, percents: [10.9], grade34_counts: [1]})"
(:AdverseEvents {name: Belinostat Adverse Events}),[:HAS_EVENT],"(:AdverseEvent {grade34_percents: [3.1], teae: true, sae: false, counts: [14], name: Hypotension, percents: [10.9], grade34_counts: [4]})"
(:AdverseEvents {name: Belinostat Adverse Events}),[:HAS_EVENT],"(:AdverseEvent {grade34_percents: [0], teae: true, sae: false, counts: [13], name: Dizziness, percents: [10.1], grade34_counts: [0]})"
(:AdverseEvents {name: Belinostat Adverse Events}),[:HAS_EVENT],"(:AdverseEvent {grade34_percents: [2.3], teae: true, sae: false, counts: [13], name: Leukopenia, percents: [10.1], grade34_counts: [3]})"
"(:AdverseEvent {grade34_percents: [0.8, 0.8], teae: true, sae: false, counts: [54, 55, 50], name: Nausea, percents: [41.9, 42.6, 38.8], grade34_counts: [1, 1]})",null,null
"(:AdverseEvent {grade34_percents: [5.4, 3.1], teae: true, sae: false, counts: [48, 48, 37], name: Fatigue, percents: [37.2, 37.2, 28.7, 5.4], grade34_counts: [7, 4]})",null,null
"(:AdverseEvent {grade34_percents: [2.3], teae: true, sae: false, counts: [45, 47], name: Pyrexia, percents: [34.9, 36.4], grade34_counts: [3]})",null,null
"(:AdverseEvent {grade34_percents: [10.9, 11.6], teae: true, sae: false, counts: [41, 41], name: Anemia, percents: [31.8, 11.6], grade34_counts: [14, 15]})",null,null
"(:AdverseEvent {grade34_percents: [7.0, 7.8], teae: true, sae: false, counts: [14, 21], name: Thrombocytopenia, percents: [10.9, 7.8, 16.3], grade34_counts: [9, 10]})",null,null
"(:AdverseEvent {grade34_percents: [6.2, 7.0], teae: true, sae: false, counts: [29], name: Dyspnea, percents: [7.0, 22.5], grade34_counts: [8, 9]})",null,null
"(:AdverseEvent {grade34_percents: [6.2], teae: true, sae: false, counts: [13], name: Neutropenia, percents: [6.2, 10.1], grade34_counts: [8]})",null,null
"(:AdverseEvent {grade34_percents: [5.4], teae: true, sae: true, counts: [], name: Pneumonia, percents: [], grade34_counts: [7]})",null,null
"(:AdverseEvent {grade34_percents: [0.8], teae: true, sae: false, counts: [37], name: Vomiting, percents: [28.7], grade34_counts: [1]})",null,null
"(:AdverseEvent {grade34_percents: [0.8], teae: true, sae: false, counts: [30], name: Constipation, percents: [23.3], grade34_counts: [1]})",null,null
"(:AdverseEvent {grade34_percents: [1.6], teae: true, sae: false, counts: [28], name: Diarrhea, percents: [21.7], grade34_counts: [2]})",null,null
"(:AdverseEvent {grade34_percents: [0], teae: true, sae: false, counts: [27], name: Edema Peripheral, percents: [20.9], grade34_counts: [0]})",null,null
"(:AdverseEvent {grade34_percents: [0.8], teae: true, sae: false, counts: [26], name: Rash, percents: [20.2], grade34_counts: [1]})",null,null
"(:AdverseEvent {grade34_percents: [0], teae: true, sae: false, counts: [25], name: Cough, percents: [19.4], grade34_counts: [0]})",null,null
"(:AdverseEvent {grade34_percents: [1.6], teae: true, sae: false, counts: [21], name: Chills, percents: [16.3], grade34_counts: [2]})",null,null
"(:AdverseEvent {grade34_percents: [3.1], teae: true, sae: false, counts: [21], name: Pruritus, percents: [16.3], grade34_counts: [4]})",null,null
"(:AdverseEvent {grade34_percents: [5.4], teae: true, sae: false, counts: [17], name: Hypokalemia, percents: [5.4, 13.2], grade34_counts: [7]})",null,null
"(:AdverseEvent {grade34_percents: [1.6], teae: true, sae: false, counts: [20], name: Blood Lactate Dehydrogenase Increased, percents: [15.5], grade34_counts: [2]})",null,null
"(:AdverseEvent {grade34_percents: [2.3], teae: true, sae: false, counts: [20], name: Decreased Appetite, percents: [15.5], grade34_counts: [3]})",null,null
"(:AdverseEvent {grade34_percents: [0], teae: true, sae: false, counts: [19], name: Headache, percents: [14.7], grade34_counts: [0]})",null,null
"(:AdverseEvent {grade34_percents: [0], teae: true, sae: false, counts: [18], name: Infusion Site Pain, percents: [14.0], grade34_counts: [0]})",null,null
"(:AdverseEvent {grade34_percents: [3.9], teae: true, sae: false, counts: [15], name: Electrocardiogram QT Prolonged, percents: [11.6], grade34_counts: [5]})",null,null
"(:AdverseEvent {grade34_percents: [0.8], teae: true, sae: false, counts: [14], name: Abdominal Pain, percents: [10.9], grade34_counts: [1]})",null,null
"(:AdverseEvent {grade34_percents: [3.1], teae: true, sae: false, counts: [14], name: Hypotension, percents: [10.9], grade34_counts: [4]})",null,null
"(:AdverseEvent {grade34_percents: [0], teae: true, sae: false, counts: [13], name: Dizziness, percents: [10.1], grade34_counts: [0]})",null,null
"(:AdverseEvent {grade34_percents: [2.3], teae: true, sae: false, counts: [13], name: Leukopenia, percents: [10.1], grade34_counts: [3]})",null,null
"(:RecommendedDose {administration_days: Days 1-5, unit: mg/m², dose: 1000, route: IV infusion, infusion_duration: 30 minutes, cycle_length: 21 days, frequency: Every 21-day cycle})",null,null
(:TranscriptomicData {name: Belinostat LINCS Transcriptomic Data}),[:HAS_SIGNATURE],"(:Signature {signature_id: LINCSCP_112515, stitch_id: CID6918638, lincspertid: LSM-43181, cell_line: HEPG2, gene_targets: [HDAC1, HDAC2, HDAC3, HDAC4, HDAC5, HDAC6, HDAC7, HDAC8, HDAC9, HDAC10, HDAC11], concentration: 10uM, tissue: liver, perturbagen_id: BRD-K17743125, time: 24h, pubchem_id: 6918638})"
(:TranscriptomicData {name: Belinostat LINCS Transcriptomic Data}),[:HAS_SIGNATURE],"(:Signature {signature_id: LINCSCP_112516, stitch_id: CID6918638, lincspertid: LSM-43181, cell_line: HEPG2, gene_targets: [HDAC1, HDAC2, HDAC3, HDAC4, HDAC5, HDAC6, HDAC7, HDAC8, HDAC9, HDAC10, HDAC11], concentration: 3.33uM, tissue: liver, perturbagen_id: BRD-K17743125, time: 24h, pubchem_id: 6918638})"
(:TranscriptomicData {name: Belinostat LINCS Transcriptomic Data}),[:HAS_SIGNATURE],"(:Signature {signature_id: LINCSCP_112517, stitch_id: CID6918638, lincspertid: LSM-43181, cell_line: HEPG2, gene_targets: [HDAC1, HDAC2, HDAC3, HDAC4, HDAC5, HDAC6, HDAC7, HDAC8, HDAC9, HDAC10, HDAC11], concentration: 1.11uM, tissue: liver, perturbagen_id: BRD-K17743125, time: 24h, pubchem_id: 6918638})"
(:TranscriptomicData {name: Belinostat LINCS Transcriptomic Data}),[:HAS_SIGNATURE],"(:Signature {signature_id: LINCSCP_112518, stitch_id: CID6918638, lincspertid: LSM-43181, cell_line: HEPG2, gene_targets: [HDAC1, HDAC2, HDAC3, HDAC4, HDAC5, HDAC6, HDAC7, HDAC8, HDAC9, HDAC10, HDAC11], concentration: 0.37uM, tissue: liver, perturbagen_id: BRD-K17743125, time: 24h, pubchem_id: 6918638})"
