source,target,edge_type
AG_RAT_M_100MG,HEM_RAT_M_100MG_WBC_change_pct,observed_hematology
PK_RAT_M_100MG_D151,HEM_RAT_M_100MG_WBC_change_pct,associated_with
AG_RAT_F_100MG,HEM_RAT_F_100MG_WBC_change_pct,observed_hematology
PK_RAT_F_100MG_D151,HEM_RAT_F_100MG_WBC_change_pct,associated_with
AG_RAT_M_10MG,CC_RAT_M_10MG_Ala_2,observed_chemistry
AG_RAT_F_10MG,CC_RAT_F_10MG_Ala_2,observed_chemistry
AG_RAT_M_25MG,CC_RAT_M_25MG_Ala_2,observed_chemistry
AG_RAT_F_25MG,CC_RAT_F_25MG_Ala_2,observed_chemistry
AG_RAT_M_100MG,CC_RAT_M_100MG_Ala_2,observed_chemistry
AG_RAT_F_100MG,CC_RAT_F_100MG_Ala_2,observed_chemistry
AG_RAT_M_10MG,CC_RAT_M_10MG_Ala_4,observed_chemistry
AG_RAT_F_10MG,CC_RAT_F_10MG_Ala_4,observed_chemistry
AG_RAT_M_25MG,CC_RAT_M_25MG_Ala_4,observed_chemistry
AG_RAT_F_25MG,CC_RAT_F_25MG_Ala_4,observed_chemistry
AG_RAT_M_100MG,CC_RAT_M_100MG_Ala_4,observed_chemistry
AG_RAT_F_100MG,CC_RAT_F_100MG_Ala_4,observed_chemistry
AG_RAT_M_10MG,CC_RAT_M_10MG_Ala_8,observed_chemistry
AG_RAT_F_10MG,CC_RAT_F_10MG_Ala_8,observed_chemistry
AG_RAT_M_25MG,CC_RAT_M_25MG_Ala_8,observed_chemistry
AG_RAT_F_25MG,CC_RAT_F_25MG_Ala_8,observed_chemistry
AG_RAT_M_100MG,CC_RAT_M_100MG_Ala_8,observed_chemistry
AG_RAT_F_100MG,CC_RAT_F_100MG_Ala_8,observed_chemistry
AG_RAT_M_100MG,CC_RAT_M_100MG_Ala_Recovery,observed_chemistry
AG_RAT_F_100MG,CC_RAT_F_100MG_Ala_Recovery,observed_chemistry
AG_RAT_M_100MG,CC_RAT_M_100MG_ALT_change_pct,observed_chemistry
AG_RAT_F_100MG,CC_RAT_F_100MG_ALT_change_pct,observed_chemistry
AG_RAT_M_100MG,OT_RAT_M_100MG_Heart card_Earl_f2bb94fe0c97,observed_pathology
PK_RAT_M_100MG_D151,OT_RAT_M_100MG_Heart card_Earl_f2bb94fe0c97,associated_with
AG_RAT_M_100MG,OT_RAT_M_100MG_Spleen Hem_Earl_2d1ae361e25d,observed_pathology
PK_RAT_M_100MG_D151,OT_RAT_M_100MG_Spleen Hem_Earl_2d1ae361e25d,associated_with
AG_RAT_F_0MG,OT_RAT_F_0MG_Spleen Hem_Earl_936b69c5698d,observed_pathology
PK_RAT_F_0MG_D151,OT_RAT_F_0MG_Spleen Hem_Earl_936b69c5698d,associated_with
AG_RAT_F_100MG,OT_RAT_F_100MG_Spleen Hem_Earl_d97a7d9d0da3,observed_pathology
PK_RAT_F_100MG_D151,OT_RAT_F_100MG_Spleen Hem_Earl_d97a7d9d0da3,associated_with
AG_RAT_F_0MG,OT_RAT_F_0MG_Ovary cong_Earl_86af4112b4a9,observed_pathology
PK_RAT_F_0MG_D151,OT_RAT_F_0MG_Ovary cong_Earl_86af4112b4a9,associated_with
AG_RAT_M_100MG,OT_RAT_M_100MG_Thymus atr_Earl_2e811809e97a,observed_pathology
PK_RAT_M_100MG_D151,OT_RAT_M_100MG_Thymus atr_Earl_2e811809e97a,associated_with
AG_RAT_F_100MG,OT_RAT_F_100MG_Thymus atr_Earl_148a9b4ba186,observed_pathology
PK_RAT_F_100MG_D151,OT_RAT_F_100MG_Thymus atr_Earl_148a9b4ba186,associated_with
AG_RAT_M_100MG,OT_RAT_M_100MG_Tail lesio_Earl_0ccc2208716c,observed_pathology
PK_RAT_M_100MG_D151,OT_RAT_M_100MG_Tail lesio_Earl_0ccc2208716c,associated_with
AG_RAT_F_100MG,OT_RAT_F_100MG_Tail lesio_Earl_e6b50aab1542,observed_pathology
PK_RAT_F_100MG_D151,OT_RAT_F_100MG_Tail lesio_Earl_e6b50aab1542,associated_with
AG_RAT_M_0MG,OT_RAT_M_0MG_Heart_Term_a5dcabce8fca,observed_pathology
PK_RAT_M_0MG_D151,OT_RAT_M_0MG_Heart_Term_a5dcabce8fca,associated_with
AG_RAT_F_0MG,OT_RAT_F_0MG_Heart_Term_8d1d46ec110d,observed_pathology
PK_RAT_F_0MG_D151,OT_RAT_F_0MG_Heart_Term_8d1d46ec110d,associated_with
AG_RAT_M_0MG,OT_RAT_M_0MG_Spleen_Term_962e12610523,observed_pathology
PK_RAT_M_0MG_D151,OT_RAT_M_0MG_Spleen_Term_962e12610523,associated_with
AG_RAT_M_100MG,OT_RAT_M_100MG_Spleen_Term_b7ff45a6eee9,observed_pathology
PK_RAT_M_100MG_D151,OT_RAT_M_100MG_Spleen_Term_b7ff45a6eee9,associated_with
AG_RAT_F_0MG,OT_RAT_F_0MG_Spleen_Term_b3c41a67f4bb,observed_pathology
PK_RAT_F_0MG_D151,OT_RAT_F_0MG_Spleen_Term_b3c41a67f4bb,associated_with
AG_RAT_F_100MG,OT_RAT_F_100MG_Spleen_Term_83cf7220cb3f,observed_pathology
PK_RAT_F_100MG_D151,OT_RAT_F_100MG_Spleen_Term_83cf7220cb3f,associated_with
AG_RAT_M_100MG,OT_RAT_M_100MG_Testes_Term_135aad39afd9,observed_pathology
PK_RAT_M_100MG_D151,OT_RAT_M_100MG_Testes_Term_135aad39afd9,associated_with
AG_RAT_M_25MG,OT_RAT_M_25MG_Thymus_Term_d5f27120d9c0,observed_pathology
PK_RAT_M_25MG_D151,OT_RAT_M_25MG_Thymus_Term_d5f27120d9c0,associated_with
AG_RAT_M_100MG,OT_RAT_M_100MG_Thymus_Term_779da6c1f5a9,observed_pathology
PK_RAT_M_100MG_D151,OT_RAT_M_100MG_Thymus_Term_779da6c1f5a9,associated_with
AG_RAT_F_100MG,OT_RAT_F_100MG_Thymus_Term_e87327ddd34f,observed_pathology
PK_RAT_F_100MG_D151,OT_RAT_F_100MG_Thymus_Term_e87327ddd34f,associated_with
AG_RAT_M_0MG,OT_RAT_M_0MG_Tail lesio_Term_da74a809e55e,observed_pathology
PK_RAT_M_0MG_D151,OT_RAT_M_0MG_Tail lesio_Term_da74a809e55e,associated_with
AG_RAT_M_10MG,OT_RAT_M_10MG_Tail lesio_Term_97b1d10eb4a9,observed_pathology
PK_RAT_M_10MG_D151,OT_RAT_M_10MG_Tail lesio_Term_97b1d10eb4a9,associated_with
AG_RAT_M_25MG,OT_RAT_M_25MG_Tail lesio_Term_7c07d8bb3d61,observed_pathology
PK_RAT_M_25MG_D151,OT_RAT_M_25MG_Tail lesio_Term_7c07d8bb3d61,associated_with
AG_RAT_M_100MG,OT_RAT_M_100MG_Tail lesio_Term_22217b801c85,observed_pathology
PK_RAT_M_100MG_D151,OT_RAT_M_100MG_Tail lesio_Term_22217b801c85,associated_with
AG_RAT_F_0MG,OT_RAT_F_0MG_Tail lesio_Term_f642c72637d0,observed_pathology
PK_RAT_F_0MG_D151,OT_RAT_F_0MG_Tail lesio_Term_f642c72637d0,associated_with
AG_RAT_F_10MG,OT_RAT_F_10MG_Tail lesio_Term_e6673c0c40de,observed_pathology
PK_RAT_F_10MG_D151,OT_RAT_F_10MG_Tail lesio_Term_e6673c0c40de,associated_with
AG_RAT_F_25MG,OT_RAT_F_25MG_Tail lesio_Term_12f9d0a29e4f,observed_pathology
PK_RAT_F_25MG_D151,OT_RAT_F_25MG_Tail lesio_Term_12f9d0a29e4f,associated_with
AG_RAT_F_100MG,OT_RAT_F_100MG_Tail lesio_Term_89ba6e6a6164,observed_pathology
PK_RAT_F_100MG_D151,OT_RAT_F_100MG_Tail lesio_Term_89ba6e6a6164,associated_with
AG_DOG_M_50MG,OT_DOG_M_50MG_Mesenteric_Term_87e8fcb0f39d,observed_pathology
PK_DOG_M_50MG_D151,OT_DOG_M_50MG_Mesenteric_Term_87e8fcb0f39d,associated_with
AG_DOG_F_50MG,OT_DOG_F_50MG_Mesenteric_Term_2469d0bdf81a,observed_pathology
PK_DOG_F_50MG_D151,OT_DOG_F_50MG_Mesenteric_Term_2469d0bdf81a,associated_with
AG_DOG_M_50MG,OT_DOG_M_50MG_Mandibular_Term_33c81a2eb644,observed_pathology
PK_DOG_M_50MG_D151,OT_DOG_M_50MG_Mandibular_Term_33c81a2eb644,associated_with
AG_DOG_F_25MG,OT_DOG_F_25MG_Mandibular_Term_1f34a4d414a0,observed_pathology
PK_DOG_F_25MG_D151,OT_DOG_F_25MG_Mandibular_Term_1f34a4d414a0,associated_with
AG_DOG_F_50MG,OT_DOG_F_50MG_Mandibular_Term_67372e01e811,observed_pathology
PK_DOG_F_50MG_D151,OT_DOG_F_50MG_Mandibular_Term_67372e01e811,associated_with
AG_DOG_M_50MG,OT_DOG_M_50MG_Spleen lym_Term_6bba8ad98c27,observed_pathology
PK_DOG_M_50MG_D151,OT_DOG_M_50MG_Spleen lym_Term_6bba8ad98c27,associated_with
AG_DOG_F_25MG,OT_DOG_F_25MG_Spleen lym_Term_6d206237f66a,observed_pathology
PK_DOG_F_25MG_D151,OT_DOG_F_25MG_Spleen lym_Term_6d206237f66a,associated_with
AG_DOG_F_50MG,OT_DOG_F_50MG_Spleen lym_Term_9ccf908153f1,observed_pathology
PK_DOG_F_50MG_D151,OT_DOG_F_50MG_Spleen lym_Term_9ccf908153f1,associated_with
AG_DOG_M_10MG,OT_DOG_M_10MG_Lungs_Term_7dd0cb80804e,observed_pathology
PK_DOG_M_10MG_D151,OT_DOG_M_10MG_Lungs_Term_7dd0cb80804e,associated_with
AG_DOG_M_25MG,OT_DOG_M_25MG_Lungs_Term_60b21d0eb43b,observed_pathology
PK_DOG_M_25MG_D151,OT_DOG_M_25MG_Lungs_Term_60b21d0eb43b,associated_with
AG_DOG_M_50MG,OT_DOG_M_50MG_Lungs_Term_106841ef9e99,observed_pathology
PK_DOG_M_50MG_D151,OT_DOG_M_50MG_Lungs_Term_106841ef9e99,associated_with
AG_DOG_F_0MG,OT_DOG_F_0MG_Lungs_Term_dd33d72b17ee,observed_pathology
PK_DOG_F_0MG_D151,OT_DOG_F_0MG_Lungs_Term_dd33d72b17ee,associated_with
AG_DOG_F_10MG,OT_DOG_F_10MG_Lungs_Term_1219d81e9bed,observed_pathology
PK_DOG_F_10MG_D151,OT_DOG_F_10MG_Lungs_Term_1219d81e9bed,associated_with
AG_DOG_F_50MG,OT_DOG_F_50MG_Lungs_Term_562c4af539f6,observed_pathology
PK_DOG_F_50MG_D151,OT_DOG_F_50MG_Lungs_Term_562c4af539f6,associated_with
AG_DOG_F_50MG,OT_DOG_F_50MG_Kidney_Term_ff1ce21a326c,observed_pathology
PK_DOG_F_50MG_D151,OT_DOG_F_50MG_Kidney_Term_ff1ce21a326c,associated_with
AG_DOG_M_50MG,OT_DOG_M_50MG__Term_c7ec3bebdc23,observed_pathology
PK_DOG_M_50MG_D151,OT_DOG_M_50MG__Term_c7ec3bebdc23,associated_with
AG_DOG_M_50MG,OT_DOG_M_50MG_lleum_Term_d3051253ee62,observed_pathology
PK_DOG_M_50MG_D151,OT_DOG_M_50MG_lleum_Term_d3051253ee62,associated_with
AG_DOG_F_25MG,OT_DOG_F_25MG_lleum_Term_a5b68435a6a3,observed_pathology
PK_DOG_F_25MG_D151,OT_DOG_F_25MG_lleum_Term_a5b68435a6a3,associated_with
AG_DOG_F_50MG,OT_DOG_F_50MG_lleum_Term_90452af5d723,observed_pathology
PK_DOG_F_50MG_D151,OT_DOG_F_50MG_lleum_Term_90452af5d723,associated_with
AG_DOG_F_50MG,OT_DOG_F_50MG_Cecum_Term_360c11eb3deb,observed_pathology
PK_DOG_F_50MG_D151,OT_DOG_F_50MG_Cecum_Term_360c11eb3deb,associated_with
AG_DOG_F_0MG,OT_DOG_F_0MG_ovary_Term_5d95fcec9aba,observed_pathology
PK_DOG_F_0MG_D151,OT_DOG_F_0MG_ovary_Term_5d95fcec9aba,associated_with
AG_DOG_F_10MG,OT_DOG_F_10MG_ovary_Term_9cd0628db679,observed_pathology
PK_DOG_F_10MG_D151,OT_DOG_F_10MG_ovary_Term_9cd0628db679,associated_with
AG_DOG_F_25MG,OT_DOG_F_25MG_ovary_Term_20cb89e14b86,observed_pathology
PK_DOG_F_25MG_D151,OT_DOG_F_25MG_ovary_Term_20cb89e14b86,associated_with
AG_DOG_F_50MG,OT_DOG_F_50MG_ovary_Term_3e553dd36eab,observed_pathology
PK_DOG_F_50MG_D151,OT_DOG_F_50MG_ovary_Term_3e553dd36eab,associated_with
AG_DOG_M_0MG,OT_DOG_M_0MG_Testes_Term_533d3302dd37,observed_pathology
PK_DOG_M_0MG_D151,OT_DOG_M_0MG_Testes_Term_533d3302dd37,associated_with
AG_DOG_M_10MG,OT_DOG_M_10MG_Testes_Term_b06e8cbe919d,observed_pathology
PK_DOG_M_10MG_D151,OT_DOG_M_10MG_Testes_Term_b06e8cbe919d,associated_with
AG_DOG_M_25MG,OT_DOG_M_25MG_Testes_Term_79ac2ebd2bb1,observed_pathology
PK_DOG_M_25MG_D151,OT_DOG_M_25MG_Testes_Term_79ac2ebd2bb1,associated_with
AG_DOG_M_50MG,OT_DOG_M_50MG_Testes_Term_6becb24e1ace,observed_pathology
PK_DOG_M_50MG_D151,OT_DOG_M_50MG_Testes_Term_6becb24e1ace,associated_with
AG_DOG_M_10MG,OT_DOG_M_10MG_Epididymis_Term_966174eefd1f,observed_pathology
PK_DOG_M_10MG_D151,OT_DOG_M_10MG_Epididymis_Term_966174eefd1f,associated_with
AG_DOG_M_25MG,OT_DOG_M_25MG_Epididymis_Term_e161e01a961f,observed_pathology
PK_DOG_M_25MG_D151,OT_DOG_M_25MG_Epididymis_Term_e161e01a961f,associated_with
AG_DOG_M_50MG,OT_DOG_M_50MG_Epididymis_Term_11eb48536f0f,observed_pathology
PK_DOG_M_50MG_D151,OT_DOG_M_50MG_Epididymis_Term_11eb48536f0f,associated_with
AG_DOG_M_50MG,OT_DOG_M_50MG_Thymus_Term_3bb38df1bfad,observed_pathology
PK_DOG_M_50MG_D151,OT_DOG_M_50MG_Thymus_Term_3bb38df1bfad,associated_with
AG_DOG_F_25MG,OT_DOG_F_25MG_Thymus_Term_0df4032008dd,observed_pathology
PK_DOG_F_25MG_D151,OT_DOG_F_25MG_Thymus_Term_0df4032008dd,associated_with
AG_DOG_F_50MG,OT_DOG_F_50MG_Thymus_Term_157503bbc8f5,observed_pathology
PK_DOG_F_50MG_D151,OT_DOG_F_50MG_Thymus_Term_157503bbc8f5,associated_with
AG_DOG_F_50MG,OT_DOG_F_50MG_Mesenteric_Reco_b2f44b045698,observed_pathology
PK_DOG_F_50MG_D151,OT_DOG_F_50MG_Mesenteric_Reco_b2f44b045698,associated_with
AG_DOG_F_50MG,OT_DOG_F_50MG_Mandibular_Reco_d1cf7ca3b75e,observed_pathology
PK_DOG_F_50MG_D151,OT_DOG_F_50MG_Mandibular_Reco_d1cf7ca3b75e,associated_with
AG_DOG_M_50MG,OT_DOG_M_50MG_Lungs_Reco_17f06898a33f,observed_pathology
PK_DOG_M_50MG_D151,OT_DOG_M_50MG_Lungs_Reco_17f06898a33f,associated_with
AG_DOG_F_0MG,OT_DOG_F_0MG_Lungs_Reco_6eb0d6bbebbc,observed_pathology
PK_DOG_F_0MG_D151,OT_DOG_F_0MG_Lungs_Reco_6eb0d6bbebbc,associated_with
AG_DOG_F_50MG,OT_DOG_F_50MG_Lungs_Reco_2646292ed1aa,observed_pathology
PK_DOG_F_50MG_D151,OT_DOG_F_50MG_Lungs_Reco_2646292ed1aa,associated_with
AG_DOG_M_50MG,OT_DOG_M_50MG_Kidney_Reco_3bc9f61a3ae7,observed_pathology
PK_DOG_M_50MG_D151,OT_DOG_M_50MG_Kidney_Reco_3bc9f61a3ae7,associated_with
AG_DOG_F_0MG,OT_DOG_F_0MG_ovary_Reco_3bd4d45de15d,observed_pathology
PK_DOG_F_0MG_D151,OT_DOG_F_0MG_ovary_Reco_3bd4d45de15d,associated_with
AG_DOG_F_50MG,OT_DOG_F_50MG_ovary_Reco_5d3c575d2b29,observed_pathology
PK_DOG_F_50MG_D151,OT_DOG_F_50MG_ovary_Reco_5d3c575d2b29,associated_with
AG_RAT_M_100MG,OT_RAT_M_100MG_Thymus_atrophy_severity,observed_pathology
PK_RAT_M_100MG_D151,OT_RAT_M_100MG_Thymus_atrophy_severity,associated_with
AG_RAT_F_100MG,OT_RAT_F_100MG_Thymus_atrophy_severity,observed_pathology
PK_RAT_F_100MG_D151,OT_RAT_F_100MG_Thymus_atrophy_severity,associated_with
AG_RAT_M_100MG,OT_RAT_M_100MG_Cardiomyopathy_severity,observed_pathology
PK_RAT_M_100MG_D151,OT_RAT_M_100MG_Cardiomyopathy_severity,associated_with
AG_DOG_M_50MG,OT_DOG_M_50MG_Testicular_tubular_atrophy_severity,observed_pathology
PK_DOG_M_50MG_D151,OT_DOG_M_50MG_Testicular_tubular_atrophy_severity,associated_with
AG_DOG_F_50MG,OT_DOG_F_50MG_Lymph_node_atrophy_severity,observed_pathology
PK_DOG_F_50MG_D151,OT_DOG_F_50MG_Lymph_node_atrophy_severity,associated_with
AG_DOG_F_50MG,OT_DOG_F_50MG_Thymus_atrophy_severity,observed_pathology
PK_DOG_F_50MG_D151,OT_DOG_F_50MG_Thymus_atrophy_severity,associated_with
AG_RAT_M_0MG,MORT_RAT_M_0MG,resulted_in
PK_RAT_M_0MG_D151,MORT_RAT_M_0MG,associated_with
AG_RAT_M_100MG,MORT_RAT_M_100MG,resulted_in
PK_RAT_M_100MG_D151,MORT_RAT_M_100MG,associated_with
AG_RAT_F_0MG,MORT_RAT_F_0MG,resulted_in
PK_RAT_F_0MG_D151,MORT_RAT_F_0MG,associated_with
AG_RAT_F_100MG,MORT_RAT_F_100MG,resulted_in
PK_RAT_F_100MG_D151,MORT_RAT_F_100MG,associated_with
