node_id,node_type,AUC,AUC_SD,Cmax,Cmax_SD,Tmax,accumulation_flag,cycle,cycle_count,day,dose_mg_per_kg,dose_mg_per_m2,dosing_schedule,drug_name,duration_days,early_decedent_flag,early_termination_flag,exposure_ratio_day151_day1,formulation,glp_status,group_id,incidence_count,lesion_type,mechanism,mortality_count,mortality_percent,n_recovery,n_terminal,n_tk,organ,parameter,percent_change,recovery_flag,recovery_presence,route,severity_grade,sex,sex_exposure_ratio,species,statistical_significance,study_id,study_type,treatment_phase,vehicle
PK_DOG_F_25MG_D151,PK_Profile,5.8,,11.2,,,Yes,,,151,25,,,,,,,1.32,,,,,,,,,,,,,,,,,,,F,,Dog,,,,,
PK_DOG_M_50MG_D1,PK_Profile,9,,17.7,,,No,,,1,50,,,,,,,,,,,,,,,,,,,,,,,,,,M,,Dog,,,,,
PK_DOG_M_50MG_D151,PK_Profile,12.5,,21,,,Yes,,,151,50,,,,,,,1.39,,,,,,,,,,,,,,,,,,,M,,Dog,,,,,
PK_DOG_F_50MG_D1,PK_Profile,8.7,,20,,,No,,,1,50,,,,,,,,,,,,,,,,,,,,,,,,,,F,,Dog,,,,,
PK_DOG_F_50MG_D151,PK_Profile,13.8,,23.4,,,Yes,,,151,50,,,,,,,1.59,,,,,,,,,,,,,,,,,,,F,,Dog,,,,,
HEM_RAT_M_100MG_WBC_change_pct,Hematology_Event,,,,,,,Terminal,,,100,,,,,,,,,,,,,,,,,,,,WBC,-33.8,Not assessed,,,,M,,Rat,Yes,,,,
HEM_RAT_F_100MG_WBC_change_pct,Hematology_Event,,,,,,,Terminal,,,100,,,,,,,,,,,,,,,,,,,,WBC,-30.6,Not assessed,,,,F,,Rat,Yes,,,,
CC_RAT_M_10MG_Ala_2,Clinical_Chemistry_Event,,,,,,,2,,,10,,,,,,,,,,,,,,,,,,,,Alanine Aminotransferase,3.6,No,,,,M,,Rat,,,,,
CC_RAT_F_10MG_Ala_2,Clinical_Chemistry_Event,,,,,,,2,,,10,,,,,,,,,,,,,,,,,,,,Alanine Aminotransferase,12.5,No,,,,F,,Rat,,,,,
CC_RAT_M_25MG_Ala_2,Clinical_Chemistry_Event,,,,,,,2,,,25,,,,,,,,,,,,,,,,,,,,Alanine Aminotransferase,16.4,No,,,,M,,Rat,p<0.05,,,,
CC_RAT_F_25MG_Ala_2,Clinical_Chemistry_Event,,,,,,,2,,,25,,,,,,,,,,,,,,,,,,,,Alanine Aminotransferase,10,No,,,,F,,Rat,,,,,
CC_RAT_M_100MG_Ala_2,Clinical_Chemistry_Event,,,,,,,2,,,100,,,,,,,,,,,,,,,,,,,,Alanine Aminotransferase,25.5,No,,,,M,,Rat,p<0.001,,,,
CC_RAT_F_100MG_Ala_2,Clinical_Chemistry_Event,,,,,,,2,,,100,,,,,,,,,,,,,,,,,,,,Alanine Aminotransferase,17.5,No,,,,F,,Rat,,,,,
CC_RAT_M_10MG_Ala_4,Clinical_Chemistry_Event,,,,,,,4,,,10,,,,,,,,,,,,,,,,,,,,Alanine Aminotransferase,6.5,No,,,,M,,Rat,,,,,
CC_RAT_F_10MG_Ala_4,Clinical_Chemistry_Event,,,,,,,4,,,10,,,,,,,,,,,,,,,,,,,,Alanine Aminotransferase,0,No,,,,F,,Rat,,,,,
CC_RAT_M_25MG_Ala_4,Clinical_Chemistry_Event,,,,,,,4,,,25,,,,,,,,,,,,,,,,,,,,Alanine Aminotransferase,15.2,No,,,,M,,Rat,,,,,
CC_RAT_F_25MG_Ala_4,Clinical_Chemistry_Event,,,,,,,4,,,25,,,,,,,,,,,,,,,,,,,,Alanine Aminotransferase,10.3,No,,,,F,,Rat,,,,,
CC_RAT_M_100MG_Ala_4,Clinical_Chemistry_Event,,,,,,,4,,,100,,,,,,,,,,,,,,,,,,,,Alanine Aminotransferase,21.7,No,,,,M,,Rat,p<0.01,,,,
CC_RAT_F_100MG_Ala_4,Clinical_Chemistry_Event,,,,,,,4,,,100,,,,,,,,,,,,,,,,,,,,Alanine Aminotransferase,20.5,No,,,,F,,Rat,,,,,
CC_RAT_M_10MG_Ala_8,Clinical_Chemistry_Event,,,,,,,8,,,10,,,,,,,,,,,,,,,,,,,,Alanine Aminotransferase,12.7,No,,,,M,,Rat,,,,,
CC_RAT_F_10MG_Ala_8,Clinical_Chemistry_Event,,,,,,,8,,,10,,,,,,,,,,,,,,,,,,,,Alanine Aminotransferase,0,No,,,,F,,Rat,,,,,
CC_RAT_M_25MG_Ala_8,Clinical_Chemistry_Event,,,,,,,8,,,25,,,,,,,,,,,,,,,,,,,,Alanine Aminotransferase,25.5,No,,,,M,,Rat,p<0.001,,,,
CC_RAT_F_25MG_Ala_8,Clinical_Chemistry_Event,,,,,,,8,,,25,,,,,,,,,,,,,,,,,,,,Alanine Aminotransferase,10.2,No,,,,F,,Rat,,,,,
CC_RAT_M_100MG_Ala_8,Clinical_Chemistry_Event,,,,,,,8,,,100,,,,,,,,,,,,,,,,,,,,Alanine Aminotransferase,43.6,No,,,,M,,Rat,p<0.001,,,,
CC_RAT_F_100MG_Ala_8,Clinical_Chemistry_Event,,,,,,,8,,,100,,,,,,,,,,,,,,,,,,,,Alanine Aminotransferase,30.8,No,,,,F,,Rat,p<0.01,,,,
CC_RAT_M_100MG_Ala_Recovery,Clinical_Chemistry_Event,,,,,,,Recovery,,,100,,,,,,,,,,,,,,,,,,,,Alanine Aminotransferase,24.5,Yes,,,,M,,Rat,,,,,
CC_RAT_F_100MG_Ala_Recovery,Clinical_Chemistry_Event,,,,,,,Recovery,,,100,,,,,,,,,,,,,,,,,,,,Alanine Aminotransferase,7.3,Yes,,,,F,,Rat,,,,,
CC_RAT_M_100MG_ALT_change_pct,Clinical_Chemistry_Event,,,,,,,Summary,,,100,,,,,,,,,,,,,,,,,,,,ALT,-43.6,Not assessed,,,,M,,Rat,Yes,,,,
CC_RAT_F_100MG_ALT_change_pct,Clinical_Chemistry_Event,,,,,,,Summary,,,100,,,,,,,,,,,,,,,,,,,,ALT,-30.8,Not assessed,,,,F,,Rat,Yes,,,,
OT_RAT_M_100MG_Heart card_Earl_f2bb94fe0c97,Organ_Toxicity,,,,,,,,,,100,,,,,Yes,,,,,,1,Heart cardiomyopathy,,,,,,,Heart cardiomyopathy,,,,No,,1,M,,Rat,,,,,
OT_RAT_M_100MG_Spleen Hem_Earl_2d1ae361e25d,Organ_Toxicity,,,,,,,,,,100,,,,,Yes,,,,,,2,Spleen Hematopoiesis,,,,,,,Spleen Hematopoiesis,,,,No,,2,M,,Rat,,,,,
OT_RAT_F_0MG_Spleen Hem_Earl_936b69c5698d,Organ_Toxicity,,,,,,,,,,0,,,,,Yes,,,,,,1,Spleen Hematopoiesis,,,,,,,Spleen Hematopoiesis,,,,No,,0,F,,Rat,,,,,
OT_RAT_F_100MG_Spleen Hem_Earl_d97a7d9d0da3,Organ_Toxicity,,,,,,,,,,100,,,,,Yes,,,,,,1,Spleen Hematopoiesis,,,,,,,Spleen Hematopoiesis,,,,No,,2,F,,Rat,,,,,
OT_RAT_F_0MG_Ovary cong_Earl_86af4112b4a9,Organ_Toxicity,,,,,,,,,,0,,,,,Yes,,,,,,1,Ovary congesion/hemorrhage,,,,,,,Ovary congesion/hemorrhage,,,,No,,0,F,,Rat,,,,,
OT_RAT_M_100MG_Thymus atr_Earl_2e811809e97a,Organ_Toxicity,,,,,,,,,,100,,,,,Yes,,,,,,1,congestion/hemorrhage,,,,,,,Thymus atrophy,,,,No,,1,M,,Rat,,,,,
OT_RAT_F_100MG_Thymus atr_Earl_148a9b4ba186,Organ_Toxicity,,,,,,,,,,100,,,,,Yes,,,,,,1,congestion/hemorrhage,,,,,,,Thymus atrophy,,,,No,,1,F,,Rat,,,,,
OT_RAT_M_100MG_Tail lesio_Earl_0ccc2208716c,Organ_Toxicity,,,,,,,,,,100,,,,,Yes,,,,,,3,"phlebitis, dermatitis, edema, hemorrhage",,,,,,,Tail lesions,,,,No,,4,M,,Rat,,,,,
OT_RAT_F_100MG_Tail lesio_Earl_e6b50aab1542,Organ_Toxicity,,,,,,,,,,100,,,,,Yes,,,,,,2,"phlebitis, dermatitis, edema, hemorrhage",,,,,,,Tail lesions,,,,No,,4,F,,Rat,,,,,
OT_RAT_M_0MG_Heart_Term_a5dcabce8fca,Organ_Toxicity,,,,,,,,,,0,,,,,No,,,,,,1,inflammatory cell foci,,,,,,,Heart,,,,No,,1,M,,Rat,,,,,
OT_RAT_F_0MG_Heart_Term_8d1d46ec110d,Organ_Toxicity,,,,,,,,,,0,,,,,No,,,,,,1,inflammatory cell foci,,,,,,,Heart,,,,No,,1,F,,Rat,,,,,
OT_RAT_M_0MG_Spleen_Term_962e12610523,Organ_Toxicity,,,,,,,,,,0,,,,,No,,,,,,8,Hematopoiesis,,,,,,,Spleen,,,,No,,2,M,,Rat,,,,,
OT_RAT_M_100MG_Spleen_Term_b7ff45a6eee9,Organ_Toxicity,,,,,,,,,,100,,,,,No,,,,,,6,Hematopoiesis,,,,,,,Spleen,,,,No,,2,M,,Rat,,,,,
OT_RAT_F_0MG_Spleen_Term_b3c41a67f4bb,Organ_Toxicity,,,,,,,,,,0,,,,,No,,,,,,8,Hematopoiesis,,,,,,,Spleen,,,,No,,2,F,,Rat,,,,,
OT_RAT_F_100MG_Spleen_Term_83cf7220cb3f,Organ_Toxicity,,,,,,,,,,100,,,,,No,,,,,,8,Hematopoiesis,,,,,,,Spleen,,,,No,,3,F,,Rat,,,,,
OT_RAT_M_100MG_Testes_Term_135aad39afd9,Organ_Toxicity,,,,,,,,,,100,,,,,No,,,,,,1,tubular atrophy,,,,,,,Testes,,,,No,,1,M,,Rat,,,,,
OT_RAT_M_25MG_Thymus_Term_d5f27120d9c0,Organ_Toxicity,,,,,,,,,,25,,,,,No,,,,,,2,atrophy -congestion/hemorrhage,,,,,,,Thymus,,,,No,,0,M,,Rat,,,,,
OT_RAT_M_100MG_Thymus_Term_779da6c1f5a9,Organ_Toxicity,,,,,,,,,,100,,,,,No,,,,,,3,atrophy -congestion/hemorrhage,,,,,,,Thymus,,,,No,,1,M,,Rat,,,,,
OT_RAT_F_100MG_Thymus_Term_e87327ddd34f,Organ_Toxicity,,,,,,,,,,100,,,,,No,,,,,,1,atrophy -congestion/hemorrhage,,,,,,,Thymus,,,,No,,0,F,,Rat,,,,,
OT_RAT_M_0MG_Tail lesio_Term_da74a809e55e,Organ_Toxicity,,,,,,,,,,0,,,,,No,,,,,,4,"phlebitis, dermatitis, edema, hemorrhage",,,,,,,Tail lesions,,,,No,,1,M,,Rat,,,,,
OT_RAT_M_10MG_Tail lesio_Term_97b1d10eb4a9,Organ_Toxicity,,,,,,,,,,10,,,,,No,,,,,,8,"phlebitis, dermatitis, edema, hemorrhage",,,,,,,Tail lesions,,,,No,,2,M,,Rat,,,,,
OT_RAT_M_25MG_Tail lesio_Term_7c07d8bb3d61,Organ_Toxicity,,,,,,,,,,25,,,,,No,,,,,,7,"phlebitis, dermatitis, edema, hemorrhage",,,,,,,Tail lesions,,,,No,,2,M,,Rat,,,,,
OT_RAT_M_100MG_Tail lesio_Term_22217b801c85,Organ_Toxicity,,,,,,,,,,100,,,,,No,,,,,,7,"phlebitis, dermatitis, edema, hemorrhage",,,,,,,Tail lesions,,,,No,,3,M,,Rat,,,,,
OT_RAT_F_0MG_Tail lesio_Term_f642c72637d0,Organ_Toxicity,,,,,,,,,,0,,,,,No,,,,,,5,"phlebitis, dermatitis, edema, hemorrhage",,,,,,,Tail lesions,,,,No,,2,F,,Rat,,,,,
OT_RAT_F_10MG_Tail lesio_Term_e6673c0c40de,Organ_Toxicity,,,,,,,,,,10,,,,,No,,,,,,4,"phlebitis, dermatitis, edema, hemorrhage",,,,,,,Tail lesions,,,,No,,1,F,,Rat,,,,,
OT_RAT_F_25MG_Tail lesio_Term_12f9d0a29e4f,Organ_Toxicity,,,,,,,,,,25,,,,,No,,,,,,3,"phlebitis, dermatitis, edema, hemorrhage",,,,,,,Tail lesions,,,,No,,2,F,,Rat,,,,,
OT_RAT_F_100MG_Tail lesio_Term_89ba6e6a6164,Organ_Toxicity,,,,,,,,,,100,,,,,No,,,,,,8,"phlebitis, dermatitis, edema, hemorrhage",,,,,,,Tail lesions,,,,No,,2,F,,Rat,,,,,
OT_DOG_M_50MG_Mesenteric_Term_87e8fcb0f39d,Organ_Toxicity,,,,,,,,,,50,,,,,No,,,,,,2,atrophy -lymphangiectasis,,,,,,,Mesenteric Lymph node,,,,No,,1,M,,Dog,,,,,
OT_DOG_F_50MG_Mesenteric_Term_2469d0bdf81a,Organ_Toxicity,,,,,,,,,,50,,,,,No,,,,,,4,atrophy -lymphangiectasis,,,,,,,Mesenteric Lymph node,,,,No,,1,F,,Dog,,,,,
OT_DOG_M_50MG_Mandibular_Term_33c81a2eb644,Organ_Toxicity,,,,,,,,,,50,,,,,No,,,,,,2,atrophy,,,,,,,Mandibular Lymph node,,,,No,,1,M,,Dog,,,,,
OT_DOG_F_25MG_Mandibular_Term_1f34a4d414a0,Organ_Toxicity,,,,,,,,,,25,,,,,No,,,,,,2,atrophy,,,,,,,Mandibular Lymph node,,,,No,,1,F,,Dog,,,,,
OT_DOG_F_50MG_Mandibular_Term_67372e01e811,Organ_Toxicity,,,,,,,,,,50,,,,,No,,,,,,3,atrophy,,,,,,,Mandibular Lymph node,,,,No,,1,F,,Dog,,,,,
OT_DOG_M_50MG_Spleen lym_Term_6bba8ad98c27,Organ_Toxicity,,,,,,,,,,50,,,,,No,,,,,,1,Spleen lymphoid atrophy,,,,,,,Spleen lymphoid atrophy,,,,No,,1,M,,Dog,,,,,
OT_DOG_F_25MG_Spleen lym_Term_6d206237f66a,Organ_Toxicity,,,,,,,,,,25,,,,,No,,,,,,2,Spleen lymphoid atrophy,,,,,,,Spleen lymphoid atrophy,,,,No,,1,F,,Dog,,,,,
OT_DOG_F_50MG_Spleen lym_Term_9ccf908153f1,Organ_Toxicity,,,,,,,,,,50,,,,,No,,,,,,1,Spleen lymphoid atrophy,,,,,,,Spleen lymphoid atrophy,,,,No,,1,F,,Dog,,,,,
OT_DOG_M_10MG_Lungs_Term_7dd0cb80804e,Organ_Toxicity,,,,,,,,,,10,,,,,No,,,,,,3,congestion/hemorrhage -pneumonitis -fibrosing alveolitis -granuloma,,,,,,,Lungs,,,,No,,1,M,,Dog,,,,,
OT_DOG_M_25MG_Lungs_Term_60b21d0eb43b,Organ_Toxicity,,,,,,,,,,25,,,,,No,,,,,,1,congestion/hemorrhage -pneumonitis -fibrosing alveolitis -granuloma,,,,,,,Lungs,,,,No,,0,M,,Dog,,,,,
OT_DOG_M_50MG_Lungs_Term_106841ef9e99,Organ_Toxicity,,,,,,,,,,50,,,,,No,,,,,,1,congestion/hemorrhage -pneumonitis -fibrosing alveolitis -granuloma,,,,,,,Lungs,,,,No,,0,M,,Dog,,,,,
OT_DOG_F_0MG_Lungs_Term_dd33d72b17ee,Organ_Toxicity,,,,,,,,,,0,,,,,No,,,,,,1,congestion/hemorrhage -pneumonitis -fibrosing alveolitis -granuloma,,,,,,,Lungs,,,,No,,1,F,,Dog,,,,,
OT_DOG_F_10MG_Lungs_Term_1219d81e9bed,Organ_Toxicity,,,,,,,,,,10,,,,,No,,,,,,2,congestion/hemorrhage -pneumonitis -fibrosing alveolitis -granuloma,,,,,,,Lungs,,,,No,,1,F,,Dog,,,,,
OT_DOG_F_50MG_Lungs_Term_562c4af539f6,Organ_Toxicity,,,,,,,,,,50,,,,,No,,,,,,1,congestion/hemorrhage -pneumonitis -fibrosing alveolitis -granuloma,,,,,,,Lungs,,,,No,,0,F,,Dog,,,,,
OT_DOG_F_50MG_Kidney_Term_ff1ce21a326c,Organ_Toxicity,,,,,,,,,,50,,,,,No,,,,,,1,foal Nephropathy,,,,,,,Kidney,,,,No,,1,F,,Dog,,,,,
OT_DOG_M_50MG__Term_c7ec3bebdc23,Organ_Toxicity,,,,,,,,,,50,,,,,No,,,,,,1,inflammatory cell foci,,,,,,,,,,,No,,1,M,,Dog,,,,,
OT_DOG_M_50MG_lleum_Term_d3051253ee62,Organ_Toxicity,,,,,,,,,,50,,,,,No,,,,,,2,lymphoid atrophy,,,,,,,lleum,,,,No,,1,M,,Dog,,,,,
OT_DOG_F_25MG_lleum_Term_a5b68435a6a3,Organ_Toxicity,,,,,,,,,,25,,,,,No,,,,,,1,lymphoid atrophy,,,,,,,lleum,,,,No,,1,F,,Dog,,,,,
OT_DOG_F_50MG_lleum_Term_90452af5d723,Organ_Toxicity,,,,,,,,,,50,,,,,No,,,,,,1,lymphoid atrophy,,,,,,,lleum,,,,No,,1,F,,Dog,,,,,
OT_DOG_F_50MG_Cecum_Term_360c11eb3deb,Organ_Toxicity,,,,,,,,,,50,,,,,No,,,,,,1,lymphoid atrophy,,,,,,,Cecum,,,,No,,1,F,,Dog,,,,,
OT_DOG_F_0MG_ovary_Term_5d95fcec9aba,Organ_Toxicity,,,,,,,,,,0,,,,,No,,,,,,3,mature -pubescent -tubular atrophy,,,,,,,ovary,,,,No,,0,F,,Dog,,,,,
OT_DOG_F_10MG_ovary_Term_9cd0628db679,Organ_Toxicity,,,,,,,,,,10,,,,,No,,,,,,3,mature -pubescent -tubular atrophy,,,,,,,ovary,,,,No,,0,F,,Dog,,,,,
OT_DOG_F_25MG_ovary_Term_20cb89e14b86,Organ_Toxicity,,,,,,,,,,25,,,,,No,,,,,,3,mature -pubescent -tubular atrophy,,,,,,,ovary,,,,No,,0,F,,Dog,,,,,
OT_DOG_F_50MG_ovary_Term_3e553dd36eab,Organ_Toxicity,,,,,,,,,,50,,,,,No,,,,,,3,mature -pubescent -tubular atrophy,,,,,,,ovary,,,,No,,1,F,,Dog,,,,,
OT_DOG_M_0MG_Testes_Term_533d3302dd37,Organ_Toxicity,,,,,,,,,,0,,,,,No,,,,,,4,mature -pubescent -tubular atrophy,,,,,,,Testes,,,,No,,1,M,,Dog,,,,,
OT_DOG_M_10MG_Testes_Term_b06e8cbe919d,Organ_Toxicity,,,,,,,,,,10,,,,,No,,,,,,3,mature -pubescent -tubular atrophy,,,,,,,Testes,,,,No,,0,M,,Dog,,,,,
OT_DOG_M_25MG_Testes_Term_79ac2ebd2bb1,Organ_Toxicity,,,,,,,,,,25,,,,,No,,,,,,4,mature -pubescent -tubular atrophy,,,,,,,Testes,,,,No,,1,M,,Dog,,,,,
OT_DOG_M_50MG_Testes_Term_6becb24e1ace,Organ_Toxicity,,,,,,,,,,50,,,,,No,,,,,,3,mature -pubescent -tubular atrophy,,,,,,,Testes,,,,No,,0,M,,Dog,,,,,
OT_DOG_M_10MG_Epididymis_Term_966174eefd1f,Organ_Toxicity,,,,,,,,,,10,,,,,No,,,,,,3,exfoliated cells,,,,,,,Epididymis,,,,No,,2,M,,Dog,,,,,
OT_DOG_M_25MG_Epididymis_Term_e161e01a961f,Organ_Toxicity,,,,,,,,,,25,,,,,No,,,,,,3,exfoliated cells,,,,,,,Epididymis,,,,No,,2,M,,Dog,,,,,
OT_DOG_M_50MG_Epididymis_Term_11eb48536f0f,Organ_Toxicity,,,,,,,,,,50,,,,,No,,,,,,3,exfoliated cells,,,,,,,Epididymis,,,,No,,2,M,,Dog,,,,,
OT_DOG_M_50MG_Thymus_Term_3bb38df1bfad,Organ_Toxicity,,,,,,,,,,50,,,,,No,,,,,,3,atrophy,,,,,,,Thymus,,,,No,,1,M,,Dog,,,,,
OT_DOG_F_25MG_Thymus_Term_0df4032008dd,Organ_Toxicity,,,,,,,,,,25,,,,,No,,,,,,1,atrophy,,,,,,,Thymus,,,,No,,1,F,,Dog,,,,,
OT_DOG_F_50MG_Thymus_Term_157503bbc8f5,Organ_Toxicity,,,,,,,,,,50,,,,,No,,,,,,1,atrophy,,,,,,,Thymus,,,,No,,1,F,,Dog,,,,,
OT_DOG_F_50MG_Mesenteric_Reco_b2f44b045698,Organ_Toxicity,,,,,,,,,,50,,,,,No,,,,,,1,atrophy,,,,,,,Mesenteric Lymph node,,,,Yes,,1,F,,Dog,,,,,
OT_DOG_F_50MG_Mandibular_Reco_d1cf7ca3b75e,Organ_Toxicity,,,,,,,,,,50,,,,,No,,,,,,1,atrophy,,,,,,,Mandibular Lymph node,,,,Yes,,1,F,,Dog,,,,,
OT_DOG_M_50MG_Lungs_Reco_17f06898a33f,Organ_Toxicity,,,,,,,,,,50,,,,,No,,,,,,2,congestion/hemorrhage,,,,,,,Lungs,,,,Yes,,0,M,,Dog,,,,,
